metrics,pearson,spearman,kendalltau
informativeness_gptscore_gpt2-large_src_hypo,0.2808719371959817,0.21950037672778472,0.16260448598508132
informativeness_bartscore_facebook/bart-large-cnn_src_hypo,0.2398491176744029,0.18749739213689123,0.13687553590396487
informativeness_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,0.2446396442780066,0.2100987246460785,0.15542318292437557
informativeness_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,0.2743577716277727,0.2867435053039223,0.21222179749249132
informativeness_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,0.28020782004484757,0.27883551224509884,0.2058427475973964
informativeness_rouge-1-p_ref_hypo,0.09761495640430966,0.07517218304086029,0.05705630821155509
informativeness_rouge-1-r_ref_hypo,0.16968804637840293,0.17796543092934147,0.13345843649805836
informativeness_rouge-1-f_ref_hypo,0.17195318699618364,0.16248536072175393,0.12099329533546292
informativeness_rouge-2-p_ref_hypo,0.13160982875158436,0.11272068000084962,0.08403230053682763
informativeness_rouge-2-r_ref_hypo,0.1801807107904928,0.16903695857190937,0.12715331544821856
informativeness_rouge-2-f_ref_hypo,0.17203298378011597,0.14938236907682942,0.11062573201560276
informativeness_rouge-l-p_ref_hypo,0.08063869191389185,0.061278506195284424,0.04675494741926451
informativeness_rouge-l-r_ref_hypo,0.1465731836366304,0.14968556260149654,0.11237636768446338
informativeness_rouge-l-f_ref_hypo,0.14052243436594747,0.13034647048411346,0.09747565941640376
informativeness_meteor_ref_hypo,0.20049070191889418,0.20251212991001027,0.15133950725453246
informativeness_bleu_ref_hypo,-0.027532361868697414,-0.07942368302001539,-0.059432678039825416
informativeness_moverscore_default_ref_hypo,0.2584310975865283,0.2500183586443943,0.18588661141447546
informativeness_unieval_fact_consistency_src_hypo,0.22474114965314285,0.18662173999815954,0.13781936501783631
informativeness_unieval_summarization_coherence_src_hypo,0.26419834245289814,0.23524575023496858,0.1734467076862864
informativeness_unieval_summarization_consistency_src_hypo,0.26501944266462485,0.25339608084987775,0.1887425738574179
informativeness_unieval_summarization_fluency_src_hypo,0.11237170262653026,0.09213728902485739,0.06735245397386504
informativeness_unieval_summarization_overall_src_hypo,0.20839354777307237,0.12060697635873079,0.08873380531412042
naturalness_gptscore_gpt2-large_src_hypo,0.26754514087840947,0.1522657330940195,0.11011509902608034
naturalness_bartscore_facebook/bart-large-cnn_src_hypo,0.355283838027584,0.2406628557175005,0.17671896162600548
naturalness_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,0.34108562678167054,0.3115991333803083,0.23178090486735936
naturalness_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,0.16718199721598467,0.17397742742053815,0.12911210892994018
naturalness_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,0.25990242333714036,0.24743990484046913,0.1835232445738802
naturalness_rouge-1-p_ref_hypo,0.20606694536096062,0.19843562113847518,0.1514364443236586
naturalness_rouge-1-r_ref_hypo,0.028371946112488833,0.025041892795759534,0.017740631387353344
naturalness_rouge-1-f_ref_hypo,0.12157334968748205,0.11541337865361292,0.08569254861663993
naturalness_rouge-2-p_ref_hypo,0.20540683274938767,0.20235136555146604,0.15162068744594437
naturalness_rouge-2-r_ref_hypo,0.12060773192010088,0.10518925741819134,0.07773650076934976
naturalness_rouge-2-f_ref_hypo,0.16577571539961972,0.15236251472944523,0.11274342787373341
naturalness_rouge-l-p_ref_hypo,0.20393501012522525,0.18813786243990135,0.1423795277639096
naturalness_rouge-l-r_ref_hypo,0.0638469692993272,0.05651303070123743,0.041615590329732284
naturalness_rouge-l-f_ref_hypo,0.13761789283256268,0.12580251784731908,0.0929586157141107
naturalness_meteor_ref_hypo,0.12063981558180449,0.10909651991594813,0.07934965630910856
naturalness_bleu_ref_hypo,0.037999176999641095,0.19349987052075093,0.14237637120512273
naturalness_moverscore_default_ref_hypo,0.2045210261617506,0.18747716406951329,0.13942409592900404
naturalness_unieval_fact_consistency_src_hypo,0.249464169616134,0.18423031182197527,0.1398520419608278
naturalness_unieval_summarization_coherence_src_hypo,0.43824269183018777,0.28205303760255446,0.21100362049283425
naturalness_unieval_summarization_consistency_src_hypo,0.4221675482856682,0.28312024992396007,0.21414845634001137
naturalness_unieval_summarization_fluency_src_hypo,0.33838572859659016,0.3091634045407571,0.2323652458431975
naturalness_unieval_summarization_overall_src_hypo,0.43760246438013084,0.3085835650978342,0.23266063224684955
quality_gptscore_gpt2-large_src_hypo,0.28596940952913374,0.183829463915657,0.1337274516978286
quality_bartscore_facebook/bart-large-cnn_src_hypo,0.366815319800222,0.29043032034423255,0.21728337227968844
quality_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,0.29766780562930595,0.2539030395638621,0.18620814082622156
