metrics,pearson,spearman,kendalltau
coherence_gptscore_gpt2-large_src_hypo,0.6132433699495279,0.5953029524594674,0.44026334512629434
coherence_bartscore_facebook/bart-large-cnn_src_hypo,0.6400984589155538,0.622935295731857,0.4660557683926733
coherence_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,0.05130638292609944,0.08270462188595568,0.05807533426551812
coherence_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,0.2781281097400883,0.30391151237204206,0.21917505216969935
coherence_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,0.16442811544689645,0.22060549320024037,0.15715214514134573
coherence_rouge-1-p_ref_hypo,-0.08347131679462085,-0.01691815466445348,-0.012701340243421712
coherence_rouge-1-r_ref_hypo,0.20871976044769416,0.24580994558135028,0.17823790005989398
coherence_rouge-1-f_ref_hypo,0.026848520393953527,0.10590958877161104,0.0757939031890581
coherence_rouge-2-p_ref_hypo,-0.008962673101357859,0.06580739045311819,0.04848947727627058
coherence_rouge-2-r_ref_hypo,0.1041623178759488,0.11671598729442041,0.08915761455913378
coherence_rouge-2-f_ref_hypo,0.030284736800905605,0.08147378698192612,0.06104120337482169
coherence_rouge-l-p_ref_hypo,-0.09417315533709339,-0.037327311591855775,-0.02662023958443108
coherence_rouge-l-r_ref_hypo,0.16586839792152971,0.21900267551057023,0.15875395583312538
coherence_rouge-l-f_ref_hypo,0.005295196815727641,0.07765941053179831,0.05536450871961787
coherence_meteor_ref_hypo,0.10790964675792189,0.1979942201506764,0.14121626432517564
coherence_bleu_ref_hypo,-0.06708513810841425,-0.20128371889547508,-0.14601055503175356
coherence_moverscore_default_ref_hypo,0.06996085554206262,0.09065243695810875,0.06324628743755022
coherence_unieval_fact_consistency_src_hypo,0.3969069863891062,0.41881596088220696,0.3014201877684064
coherence_unieval_summarization_coherence_src_hypo,0.4734683855990622,0.4581285925866393,0.33036098194993024
coherence_unieval_summarization_consistency_src_hypo,0.45519412760803485,0.4525087456517925,0.32849617763865213
coherence_unieval_summarization_fluency_src_hypo,0.3737963030345517,0.38962380279588843,0.28131653296700365
coherence_unieval_summarization_overall_src_hypo,0.48801903590233114,0.4864944706799781,0.35111601175207746
fluency_gptscore_gpt2-large_src_hypo,0.5714664305771039,0.5649392843366718,0.41944670944453954
fluency_bartscore_facebook/bart-large-cnn_src_hypo,0.5918395335748953,0.5963009342511186,0.4480304337481137
