metrics,pearson,spearman,kendalltau
fact_gptscore_gpt2-large_src_hypo,0.6726044706685076,0.5827229673113852,0.4699188642389555
fact_bartscore_facebook/bart-large-cnn_src_hypo,0.7346715353483037,0.6802926519816688,0.5566634555759927
fact_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,0.6177853884653631,0.5113279460981718,0.4093680895207547
fact_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,0.5152139574103407,0.46617098579900396,0.3698979548896312
fact_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,0.5853203364797356,0.5073204281092074,0.405331371206208
fact_rouge-1-p_ref_hypo,0.4709391088792853,0.3357622093308936,0.2663964346057444
fact_rouge-1-r_ref_hypo,0.3901372554200315,0.35637106833726356,0.28251793868594977
fact_rouge-1-f_ref_hypo,0.4176968452144224,0.3609984320720072,0.28643279949344996
fact_rouge-2-p_ref_hypo,0.6482927640012409,0.5370234276889555,0.4325397775215843
fact_rouge-2-r_ref_hypo,0.4368987080793362,0.4118536410515901,0.3268542180276173
fact_rouge-2-f_ref_hypo,0.4676905579402551,0.4182935226638168,0.3314206006039934
fact_rouge-l-p_ref_hypo,0.4910673512974353,0.36513575301864654,0.29031128362036057
fact_rouge-l-r_ref_hypo,0.4101804307656569,0.3629673468048269,0.28716521037537956
fact_rouge-l-f_ref_hypo,0.4372917422400025,0.36943279176235244,0.2925328403219982
fact_meteor_ref_hypo,0.28039773023064635,0.3257066815776824,0.2559727935679793
fact_bleu_ref_hypo,0.0707872877677616,0.0815098232838199,0.06532485316703615
fact_moverscore_default_ref_hypo,0.41227509489895603,0.3531343183970222,0.27786077731796593
fact_unieval_fact_consistency_src_hypo,0.6816805816200912,0.6622553266833067,0.5316358020258032
fact_unieval_summarization_coherence_src_hypo,0.5368109128488601,0.5747114256814786,0.4502735017748281
fact_unieval_summarization_consistency_src_hypo,0.635126878263692,0.6175166897616615,0.4916274382860734
fact_unieval_summarization_fluency_src_hypo,0.43216859810995767,0.4532883230260587,0.35132905064271625
fact_unieval_summarization_overall_src_hypo,0.6295761185334426,0.6330290990176491,0.4995214652122981
