metrics,pearson,spearman,kendalltau
informativeness_gptscore_gpt2-large_src_hypo,0.31613792921518025,0.2710261436584351,0.2066613178424991
informativeness_bartscore_facebook/bart-large-cnn_src_hypo,0.3097639657249044,0.2535052567279331,0.19253167188510795
informativeness_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,0.1967123158717093,0.1471333749409707,0.11083857998606281
informativeness_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,0.232731756185066,0.19218753148224288,0.14736714657156166
informativeness_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,0.22784534875981846,0.1844539641113052,0.14068031210153326
informativeness_rouge-1-p_ref_hypo,0.05117379941507275,0.04916126956377361,0.037264421164725794
informativeness_rouge-1-r_ref_hypo,0.14879303512358813,0.14828127302159166,0.11459181648178061
informativeness_rouge-1-f_ref_hypo,0.11509450801919618,0.11574685825168692,0.08749802371122958
informativeness_rouge-2-p_ref_hypo,0.0827099401265858,0.08000753528965936,0.060913578797899964
informativeness_rouge-2-r_ref_hypo,0.1214575347995697,0.1313049153103124,0.10068270762223772
informativeness_rouge-2-f_ref_hypo,0.10619489681074186,0.10804769026417466,0.08200122779671502
informativeness_rouge-l-p_ref_hypo,0.03463528513026214,0.03400783574595828,0.025799410668203893
informativeness_rouge-l-r_ref_hypo,0.11337708548975216,0.1184264994625663,0.09105644576293266
informativeness_rouge-l-f_ref_hypo,0.08426151287305624,0.08488329203505555,0.06391927555569782
informativeness_meteor_ref_hypo,0.19297708331585617,0.17507477762148813,0.13377614421263442
informativeness_bleu_ref_hypo,-0.02810583848308472,-0.0734726348571854,-0.0567436762048695
informativeness_moverscore_default_ref_hypo,0.19575204126585227,0.1716655166105263,0.13025858459232365
informativeness_unieval_fact_consistency_src_hypo,0.1131760321044719,0.12912052380270778,0.09808974603909615
informativeness_unieval_summarization_coherence_src_hypo,0.24731531205169124,0.23801059689115484,0.18155362660301558
informativeness_unieval_summarization_consistency_src_hypo,0.2311113767356428,0.21327908972320966,0.16286779425919176
informativeness_unieval_summarization_fluency_src_hypo,0.27350763150313206,0.24832783313636708,0.1895015899884768
informativeness_unieval_summarization_overall_src_hypo,0.3260809772558424,0.2829724633874371,0.2152535594697622
naturalness_gptscore_gpt2-large_src_hypo,0.2779620908034474,0.2285375662863524,0.16670950518950023
naturalness_bartscore_facebook/bart-large-cnn_src_hypo,0.28246588020762,0.22571917925222545,0.16477824433306984
naturalness_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,0.20682560799878538,0.1749640629254288,0.12931573253104173
naturalness_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,0.2055537366093316,0.1785816200249761,0.1310932463381504
naturalness_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,0.21623002256444476,0.1834687777788174,0.13494196186521001
naturalness_rouge-1-p_ref_hypo,0.046838110470907045,0.05277456811220281,0.03862037110774548
naturalness_rouge-1-r_ref_hypo,0.09464998938221636,0.09636368062388183,0.07206179232632173
naturalness_rouge-1-f_ref_hypo,0.07745411042307651,0.07968611338311107,0.05901695551608271
naturalness_rouge-2-p_ref_hypo,0.10152644707305859,0.07334261517606452,0.054627973242056455
naturalness_rouge-2-r_ref_hypo,0.11113449320572638,0.08847281762020776,0.06580341622780053
naturalness_rouge-2-f_ref_hypo,0.10810551968178247,0.08063722511537237,0.05931839269329786
naturalness_rouge-l-p_ref_hypo,0.06520090988606606,0.06159813726579075,0.04550826200341382
naturalness_rouge-l-r_ref_hypo,0.09654330124490758,0.09208907459440664,0.06851834567194792
naturalness_rouge-l-f_ref_hypo,0.08571949382665987,0.07954145629089583,0.05846103402756011
naturalness_meteor_ref_hypo,0.15211087412882687,0.14328012115582459,0.10578050232831028
naturalness_bleu_ref_hypo,0.04178698773991365,0.10028037751017821,0.07522712282391603
naturalness_moverscore_default_ref_hypo,0.18590517703040474,0.15380518148503639,0.1132798213386156
naturalness_unieval_fact_consistency_src_hypo,0.08419049469275228,0.1403985417073191,0.10383294888574184
naturalness_unieval_summarization_coherence_src_hypo,0.24802066482247687,0.15341470396941442,0.11158658975473858
