metrics,pearson,spearman,kendalltau
coherence_gptscore_gpt2-large_src_hypo,0.43049395574941496,0.41244468688120345,0.29658203841076697
coherence_bartscore_facebook/bart-large-cnn_src_hypo,0.43421261860872606,0.40774867046230034,0.2924483904993225
coherence_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,0.3380715523841672,0.3193691135786352,0.2261942741364562
coherence_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,0.30453247765021685,0.2986699033163969,0.21426361312936582
coherence_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,0.3490507873108776,0.3331256783194871,0.2364782956971687
coherence_rouge-1-p_ref_hypo,0.17949664417193953,0.15819394549705507,0.11108286060147404
coherence_rouge-1-r_ref_hypo,0.21815270247045287,0.2106886442950457,0.1511974841873007
coherence_rouge-1-f_ref_hypo,0.1969516606660569,0.1802009932706009,0.1266843316723527
coherence_rouge-2-p_ref_hypo,0.15105282227365363,0.15264862618007574,0.1068537284986632
coherence_rouge-2-r_ref_hypo,0.16057199227203214,0.16425496795360683,0.11511883757131959
coherence_rouge-2-f_ref_hypo,0.14934119405994747,0.15254348608246576,0.10624657728689682
coherence_rouge-l-p_ref_hypo,0.14999323698287442,0.1311911494376623,0.09187764744733767
coherence_rouge-l-r_ref_hypo,0.18301907945892157,0.17769715966711466,0.12684794745499212
coherence_rouge-l-f_ref_hypo,0.16020831403581026,0.14556052835558023,0.10187626725424764
coherence_meteor_ref_hypo,0.14429054521318527,0.13442654534809093,0.09569426854507869
coherence_bleu_ref_hypo,0.010762092556478822,0.12529069031416185,0.08867052227258236
coherence_moverscore_default_ref_hypo,0.1642344624103323,0.15407032843449203,0.10850118306264983
coherence_unieval_fact_consistency_src_hypo,0.1996805315767703,0.1498599661587191,0.10300322046948444
coherence_unieval_summarization_coherence_src_hypo,0.5332485112632288,0.5918103119993195,0.42462604064700843
coherence_unieval_summarization_consistency_src_hypo,0.2794294979285454,0.3175162839278287,0.2233642156280505
