metrics,pearson,spearman,kendalltau
Understandable_gptscore_gpt2-large_src_hypo,0.10902625587978478,0.10713423511526815,0.08148553429541906
Understandable_bartscore_facebook/bart-large-cnn_src_hypo,0.039247762896862666,0.0586361610373542,0.044622400158524894
Understandable_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,0.2826352788297216,0.25514810252275816,0.19631207856091695
Understandable_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,0.29471718875073244,0.269440616991829,0.20287964843588083
Understandable_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,0.30500245479239263,0.29001643072263183,0.22062267995292043
Understandable_rouge-1-p_ref_hypo,0.13228584507103186,0.08838476399579663,0.0670221485110807
Understandable_rouge-1-r_ref_hypo,0.20471081130309876,0.18061066018807984,0.13740911507281825
Understandable_rouge-1-f_ref_hypo,0.17378856805655554,0.14890911001703333,0.11536294132193597
Understandable_rouge-2-p_ref_hypo,0.22072384499612213,0.2209775210907836,0.17987076583545306
Understandable_rouge-2-r_ref_hypo,0.23623381441769206,0.23633134185167104,0.19275463968502965
Understandable_rouge-2-f_ref_hypo,0.2281861659390375,0.23288606454081215,0.19010962076304025
Understandable_rouge-l-p_ref_hypo,0.1452822479611124,0.09604705221649047,0.07294936149176583
Understandable_rouge-l-r_ref_hypo,0.20815451667656543,0.17285757873766266,0.13082205132207625
Understandable_rouge-l-f_ref_hypo,0.1833985733970262,0.14568241167609608,0.11099012135452972
Understandable_meteor_ref_hypo,0.25897593463853286,0.2254281027508319,0.17080996026902098
Understandable_bleu_ref_hypo,-0.1448493469452165,-0.09829892603233918,-0.07343238230289456
Understandable_moverscore_default_ref_hypo,0.24587204079873534,0.21782596088263917,0.16749951394817206
Understandable_unieval_fact_consistency_src_hypo,0.22898471113512103,0.2311605182047592,0.17449079800861753
Understandable_unieval_summarization_coherence_src_hypo,0.425925299057745,0.4242285932044264,0.3224729772880461
Understandable_unieval_summarization_consistency_src_hypo,0.3306940796537266,0.3217335039497405,0.24408585297396082
Understandable_unieval_summarization_fluency_src_hypo,0.2703171727331719,0.2523351430061431,0.1893207945004715
Understandable_unieval_summarization_overall_src_hypo,0.4110237655694053,0.4102420440163333,0.31389276503204483
Natural_gptscore_gpt2-large_src_hypo,0.10632995430969447,0.08741933748040605,0.06506920782121799
Natural_bartscore_facebook/bart-large-cnn_src_hypo,0.02126222340562705,0.026569931778388674,0.017600687361476994
Natural_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,0.24944805922822122,0.24211724187151595,0.1690247827606303
Natural_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,0.2933493915709217,0.2858781573856574,0.2027230684802626
Natural_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,0.2874348690240843,0.2924602705042524,0.20757174268452622
Natural_rouge-1-p_ref_hypo,0.05462999882792645,0.02643588019271364,0.017523364849305043
Natural_rouge-1-r_ref_hypo,0.20208485744027588,0.1812448893160472,0.13015393056932284
Natural_rouge-1-f_ref_hypo,0.1354296082825571,0.11751456722658658,0.08503655588284047
Natural_rouge-2-p_ref_hypo,0.15053013298016535,0.1416442414621486,0.10808989477933616
Natural_rouge-2-r_ref_hypo,0.2030919616377886,0.1863700944433022,0.1443253412086704
Natural_rouge-2-f_ref_hypo,0.17741414056156674,0.16926002550685573,0.13040367148666748
Natural_rouge-l-p_ref_hypo,0.0731506487473235,0.034128240523896125,0.02373397146775264
Natural_rouge-l-r_ref_hypo,0.2048570885014469,0.17281830341275212,0.12356373568168459
Natural_rouge-l-f_ref_hypo,0.14797663647506296,0.11626788030444102,0.08348381991236921
Natural_meteor_ref_hypo,0.22650390765623377,0.19999358209805765,0.13995458276456071
Natural_bleu_ref_hypo,-0.11184653073038305,-0.0931206325174688,-0.06546252179717445
Natural_moverscore_default_ref_hypo,0.20101727535813826,0.18608773604624662,0.12931414102771116
Natural_unieval_fact_consistency_src_hypo,0.19185385136514266,0.199455147294832,0.1376538606590446
Natural_unieval_summarization_coherence_src_hypo,0.41746139518849973,0.4249353211102196,0.30536950138452373
Natural_unieval_summarization_consistency_src_hypo,0.28203878204737387,0.27108169324096093,0.19171657803658415
Natural_unieval_summarization_fluency_src_hypo,0.3182926549064125,0.3020863293645166,0.21474778050683638
Natural_unieval_summarization_overall_src_hypo,0.41060911954922513,0.39468035207970587,0.28418079511189165
Maintains Context_gptscore_gpt2-large_src_hypo,0.06934013346184376,0.07206048171892111,0.05251252589034759
Maintains Context_bartscore_facebook/bart-large-cnn_src_hypo,0.030474750735769888,0.045976225305318294,0.03316580582548269
Maintains Context_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,0.16921742822520267,0.1933084634502432,0.13203287903916572
Maintains Context_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,0.3199710404656753,0.3428169243128914,0.24219766096240644
Maintains Context_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,0.26342302112308197,0.30850970480489476,0.21620808212840248
Maintains Context_rouge-1-p_ref_hypo,0.048924623361123847,0.04998091693245239,0.034242240921681884
Maintains Context_rouge-1-r_ref_hypo,0.2865210153017339,0.2884892828853798,0.20744286344994195
Maintains Context_rouge-1-f_ref_hypo,0.18685796228135368,0.19108231717352636,0.13659584314162707
Maintains Context_rouge-2-p_ref_hypo,0.14081595014385823,0.21452881926443362,0.1608880428147336
Maintains Context_rouge-2-r_ref_hypo,0.23066998809659847,0.27495846917324296,0.21110083459543563
Maintains Context_rouge-2-f_ref_hypo,0.18778039011776443,0.252935087840556,0.19151897067445153
Maintains Context_rouge-l-p_ref_hypo,0.04795119707207377,0.04833816391720182,0.033843777381065684
Maintains Context_rouge-l-r_ref_hypo,0.27065100871508246,0.27289157507170225,0.19722958807481097
