metrics,pearson,spearman,kendalltau
fluency_gptscore_gpt2-large_src_hypo,0.09335761714816335,0.07186694664231645,0.05011353421369974
fluency_bartscore_facebook/bart-large-cnn_src_hypo,0.31782875374507685,0.33049981543496304,0.23819885964269935
fluency_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,0.5230115338858177,0.5241021007210972,0.38650614149044726
fluency_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,0.44780868406913626,0.45913349673031756,0.33614402360213846
fluency_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,0.49396919010067536,0.4992758260233979,0.3672926360128544
fluency_rouge-1-p_ref_hypo,0.22027908204700392,0.21096426466531143,0.15309392770607205
fluency_rouge-1-r_ref_hypo,0.2805427894662902,0.27718864258552506,0.20137811975396477
fluency_rouge-1-f_ref_hypo,0.2684415520662782,0.2627333024228139,0.1901361803106892
fluency_rouge-2-p_ref_hypo,0.2863863594626086,0.27687804657439163,0.2013044501232636
fluency_rouge-2-r_ref_hypo,0.2829666166085058,0.2712880717569388,0.19710877620397318
fluency_rouge-2-f_ref_hypo,0.2887867999929987,0.2773854119229639,0.2005855722585695
fluency_rouge-l-p_ref_hypo,0.17091386828192398,0.16640881615421985,0.12084691759143502
fluency_rouge-l-r_ref_hypo,0.23182087136291019,0.21904703115439533,0.15925536329504944
fluency_rouge-l-f_ref_hypo,0.21393642045865927,0.2043856133105529,0.14814351123558372
fluency_meteor_ref_hypo,0.3382141595078564,0.3316219338612871,0.23981046353316587
fluency_bleu_ref_hypo,0.29230529063698957,0.3175107849171574,0.23232875939003433
fluency_moverscore_default_ref_hypo,0.42354831984932967,0.42853379657945534,0.3132397382750809
fluency_unieval_fact_consistency_src_hypo,0.335767000161266,0.354082674614353,0.2558276610595059
fluency_unieval_summarization_coherence_src_hypo,0.4684579117472058,0.48019047660044895,0.34859035498675667
fluency_unieval_summarization_consistency_src_hypo,0.4262913997572991,0.4693363264502083,0.34479232266856985
fluency_unieval_summarization_fluency_src_hypo,0.510662405985429,0.5210468333440673,0.3820045499324709
fluency_unieval_summarization_overall_src_hypo,0.5596392912752519,0.5651140323020304,0.41545470168065374
grammar_gptscore_gpt2-large_src_hypo,0.15553847904419388,0.13334068899250176,0.09521170074274277
grammar_bartscore_facebook/bart-large-cnn_src_hypo,0.3455803446275773,0.3441549541736135,0.2489596574004444
grammar_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,0.4751442218413729,0.4730332534894382,0.3471787201999046
grammar_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,0.41746459621324117,0.43026464558105315,0.31418301171305496
grammar_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,0.45451331137260687,0.459145865146875,0.3363272821378527
grammar_rouge-1-p_ref_hypo,0.23960134221297727,0.2262791316787463,0.16442945105861045
grammar_rouge-1-r_ref_hypo,0.2993052436919255,0.3006202548520863,0.21806066288432957
grammar_rouge-1-f_ref_hypo,0.28927119820473685,0.2848548019987774,0.20594111576045285
grammar_rouge-2-p_ref_hypo,0.28916420924363945,0.28592868034390023,0.20715157895980535
grammar_rouge-2-r_ref_hypo,0.2926812730005158,0.2928505788849741,0.21178169866252838
grammar_rouge-2-f_ref_hypo,0.2968915567580806,0.29480552246271596,0.21256330586826225
grammar_rouge-l-p_ref_hypo,0.18912223234945236,0.18197416654052956,0.1321763832048353
grammar_rouge-l-r_ref_hypo,0.25135498717002425,0.24265625165993296,0.17629711076961527
grammar_rouge-l-f_ref_hypo,0.23442156343740864,0.22605050062529308,0.163493399940376
grammar_meteor_ref_hypo,0.3421914008793341,0.34161270079253475,0.24668464211535607
grammar_bleu_ref_hypo,0.255633269956495,0.2463414674931049,0.17986883501567655
grammar_moverscore_default_ref_hypo,0.39814344134284624,0.40395154741700606,0.294152222886458
grammar_unieval_fact_consistency_src_hypo,0.31945324145684656,0.3398318735356514,0.24636295181603693
grammar_unieval_summarization_coherence_src_hypo,0.41668740604464755,0.4400137869407169,0.3240516955560292
grammar_unieval_summarization_consistency_src_hypo,0.397209394798072,0.4236476570159357,0.31296971614034813
grammar_unieval_summarization_fluency_src_hypo,0.4883328366832147,0.49447762984739885,0.36201149929208865
grammar_unieval_summarization_overall_src_hypo,0.5190216400466733,0.5266780248356052,0.387486181475191
semantics_gptscore_gpt2-large_src_hypo,0.45863510890433046,0.4016902335543244,0.2928003889607181
semantics_bartscore_facebook/bart-large-cnn_src_hypo,0.5470570853063552,0.49959313008171297,0.3690709059980622
semantics_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,0.5877980777468118,0.56002502737197,0.4180417579000893
semantics_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,0.6638472562892253,0.6463998814140088,0.49090609945686486
semantics_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,0.6439553166071836,0.623855779075491,0.47138213277462104
semantics_rouge-1-p_ref_hypo,0.4444310897730658,0.3787625034880973,0.279659454041299
semantics_rouge-1-r_ref_hypo,0.5581208221529855,0.5196340251945123,0.38864353877709906
semantics_rouge-1-f_ref_hypo,0.5523543872521812,0.5018033062739816,0.3729831833505547
semantics_rouge-2-p_ref_hypo,0.3996571234824936,0.3875151885525566,0.2851550716279972
semantics_rouge-2-r_ref_hypo,0.47008896535231814,0.46999359806498686,0.34817396443237214
semantics_rouge-2-f_ref_hypo,0.4577285976219297,0.4497666849494473,0.3311723863849459
semantics_rouge-l-p_ref_hypo,0.36710020721453146,0.3331306920485314,0.24634153242462548
semantics_rouge-l-r_ref_hypo,0.48109654346362696,0.4536558126014455,0.3385515763763153
semantics_rouge-l-f_ref_hypo,0.4612187301375972,0.42689734596608464,0.31677467071102383
semantics_meteor_ref_hypo,0.5491406911762061,0.5271315686211491,0.39125398454612226
semantics_bleu_ref_hypo,0.011379391081544765,0.05120565622324775,0.03706980685709513
semantics_moverscore_default_ref_hypo,0.6494305322395817,0.6223704406005313,0.4723252147560475
semantics_unieval_fact_consistency_src_hypo,0.6303990792383061,0.5956206717315338,0.4463203577496819
semantics_unieval_summarization_coherence_src_hypo,0.6108270561537511,0.6278570752822018,0.4718522117844646
semantics_unieval_summarization_consistency_src_hypo,0.5946327864804583,0.5901268389577787,0.4418273502601864
semantics_unieval_summarization_fluency_src_hypo,0.3631009315319101,0.37795275057912425,0.27553962720716446
semantics_unieval_summarization_overall_src_hypo,0.6086910706299928,0.5856707378910239,0.4376452673096606
