metrics,acc
gptscore_gpt2-large_src_hypo,0.8513513513513513
bartscore_facebook/bart-large-cnn_src_hypo,0.8513513513513513
bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,0.6013513513513513
bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,0.668918918918919
bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,0.6824324324324325
rouge-1-p_ref_hypo,0.006756756756756757
rouge-1-r_ref_hypo,0.0
rouge-1-f_ref_hypo,0.006756756756756757
rouge-2-p_ref_hypo,0.0945945945945946
rouge-2-r_ref_hypo,0.06756756756756757
rouge-2-f_ref_hypo,0.0945945945945946
rouge-l-p_ref_hypo,0.013513513513513514
rouge-l-r_ref_hypo,0.013513513513513514
rouge-l-f_ref_hypo,0.013513513513513514
meteor_ref_hypo,0.36486486486486486
bleu_ref_hypo,0.02027027027027027
moverscore_default_ref_hypo,0.6283783783783784
unieval_fact_consistency_src_hypo,0.22297297297297297
unieval_summarization_coherence_src_hypo,0.7905405405405406
unieval_summarization_consistency_src_hypo,0.22297297297297297
unieval_summarization_fluency_src_hypo,0.2702702702702703
unieval_summarization_overall_src_hypo,0.7905405405405406
