id,src,sys,refs,ref,informativeness,naturalness,quality
0,confirm(area=dont_care),Do you not to restaurant restaurants that are ?,"['Please confirm that you do not care what area the restaurant is located .', 'Please confirm you have no preference for location of the restaurant .', 'The area does not matter ?', 'You do not care about the area ?', 'Can I confirm that you do not care about area ?', 'Can I confirm that you do not care what area ?', 'Can I confirm that you do not care about the area ?']",Please confirm that you do not care what area the restaurant is located .,1.0,1.0,1.0
1,confirm(area='financial district'),You would like to search financial district ?,"['Is it the financial district ?', 'Are you looking for a restaurant near the financial district ?', 'You are looking near the financial district , right ?']",Is it the financial district ?,5.0,3.0,4.0
2,confirm(area='little russia'),You would like to search little russia ?,['You are looking in the little russia area correct ?'],You are looking in the little russia area correct ?,4.0,4.0,4.5
3,confirm(food='comfort food'),You want a comfort food restaurant right ?,"['Just to double check , you would like a restaurant that serves comfort food ?']","Just to double check , you would like a restaurant that serves comfort food ?",4.5,4.5,4.5
4,confirm(good_for_meal=dont_care),I am sorry just to confirm you are looking for a restaurant good for any meal ?,"['I am sorry . Just to confirm . You are looking for a restaurant good for any meal ?', 'Can I confirm that you do not care about what meal they offer ?', 'Can I confirm you do not care about the type of meal ?', 'Are you looking for restaurant -s that are good for any meal ?', 'Can I confirm you do not care what type of meal it is ?', 'Can I confirm you have no preference for the meal ?', 'So , you want a place good for any meal ?']",I am sorry . Just to confirm . You are looking for a restaurant good for any meal ?,3.0,5.0,3.0
5,confirm(kids_allowed=dont_care),Let me confirm that you do not care if children are allowed at the restaurant ?,"['Ok , you want a restaurant and you do not care whether it allows kid -s ?', 'So you do not care whether it allows child -s or not ?', 'Let me confirm that you do not care if child -s are allowed at the restaurant']","Ok , you want a restaurant and you do not care whether it allows kid -s ?",6.0,6.0,6.0
6,confirm(kids_allowed=no),Can I confirm that you are looking for a restaurant that does not allow kids ?,"['Can I confirm that you want a restaurant that does not allow child -s ?', 'Can I confirm that you are looking for a restaurant that does not allow kid -s ?', 'Please confirm you do not want a child friendly restaurant .']",Can I confirm that you want a restaurant that does not allow child -s ?,6.0,4.0,3.0
7,confirm(kids_allowed=yes),Would you confirm that you would like to bring your child ?,"['Kid -s allowed yes or no ?', 'I have found place -s that allow kid -s .', 'Would you confirm that you would like to bring your child ?', 'Yes , child -s are allowed .', 'Please confirm , you want a restaurant that allows child -s ?', 'Please confirm if you want child friendly atmosphere .']",Kid -s allowed yes or no ?,4.0,5.0,6.0
8,confirm(near='inner richmond'),Can I confirm that you are looking for a restaurant near inner richmond ?,"['Can I confirm you are looking for a restaurant near inner richmond ?', 'Let me make sure , are you looking for a restaurant near inner richmond ?']",Can I confirm you are looking for a restaurant near inner richmond ?,6.0,6.0,6.0
9,confirm(near='potrero hill'),Can I confirm that you are looking for a restaurant near potrero hill ?,"['Are you still looking for a restaurant near the potrero hill area ?', 'Are you wondering if it is near potrero hill ?', 'Are you wondering if there is something else near potrero hill ?', 'Can I confirm if you are looking for a restaurant near potrero hill ?']",Are you still looking for a restaurant near the potrero hill area ?,6.0,6.0,6.0
