id,src,sys,refs,ref,fluency,grammar,semantics
0,(29075)_1950_da | discoverer | carl_a._wirtanen,"the 29075 club is the dictcoverer , carl a. wirtsen .","['( 29075 ) 1950 da was discovered by carl a wirtanen .', 'carl a wirtanen discovered ( 29075 ) 1950 da .', 'carl a wirtanen was the discoverer of 29075 1950 da .']",( 29075 ) 1950 da was discovered by carl a wirtanen .,1.6666666666666667,1.6666666666666667,1.3333333333333333
1,(29075)_1950_da | discoverer | carl_a._wirtanen,the administrative government is governed by the flemish government .,"['( 29075 ) 1950 da was discovered by carl a wirtanen .', 'carl a wirtanen discovered ( 29075 ) 1950 da .', 'carl a wirtanen was the discoverer of 29075 1950 da .']",( 29075 ) 1950 da was discovered by carl a wirtanen .,2.75,2.75,1.0
2,(29075)_1950_da | discoverer | carl_a._wirtanen,1950 da is carl a. wirtanen .,"['( 29075 ) 1950 da was discovered by carl a wirtanen .', 'carl a wirtanen discovered ( 29075 ) 1950 da .', 'carl a wirtanen was the discoverer of 29075 1950 da .']",( 29075 ) 1950 da was discovered by carl a wirtanen .,2.0,2.333333333333333,1.0
3,(29075)_1950_da | discoverer | carl_a._wirtanen,carl a. wirtanen discovered ( 29075 ) 1950 da .,"['( 29075 ) 1950 da was discovered by carl a wirtanen .', 'carl a wirtanen discovered ( 29075 ) 1950 da .', 'carl a wirtanen was the discoverer of 29075 1950 da .']",( 29075 ) 1950 da was discovered by carl a wirtanen .,3.0,2.6666666666666665,2.333333333333333
4,(29075)_1950_da | discoverer | carl_a._wirtanen,the chair of ( 29075 ) 1950 da is carl a. wirtanen .,"['( 29075 ) 1950 da was discovered by carl a wirtanen .', 'carl a wirtanen discovered ( 29075 ) 1950 da .', 'carl a wirtanen was the discoverer of 29075 1950 da .']",( 29075 ) 1950 da was discovered by carl a wirtanen .,1.75,2.25,1.5
6,(29075)_1950_da | discoverer | carl_a._wirtanen,carl a. wirtanen discoverer ( 29075 ) 1950 da,"['( 29075 ) 1950 da was discovered by carl a wirtanen .', 'carl a wirtanen discovered ( 29075 ) 1950 da .', 'carl a wirtanen was the discoverer of 29075 1950 da .']",( 29075 ) 1950 da was discovered by carl a wirtanen .,1.0,1.6666666666666667,2.333333333333333
7,(29075)_1950_da | discoverer | carl_a._wirtanen,carl a. wirtanen discovered ( 29075 ) 1950 da .,"['( 29075 ) 1950 da was discovered by carl a wirtanen .', 'carl a wirtanen discovered ( 29075 ) 1950 da .', 'carl a wirtanen was the discoverer of 29075 1950 da .']",( 29075 ) 1950 da was discovered by carl a wirtanen .,3.0,2.75,2.75
9,"1001_gaussia | formername | ""1923 oaa907 xc""",the former name for the former name for 11 gunger is 1923. one of the former name is 1923 .,"['1001 gaussia was formerly known as 1923 oaa907 xc .', 'the former name of 1001 gaussia is `` 1923 oaa907 xc `` .', ""1001 gaussia ' s former name was 1923 oaa907 xc .""]",1001 gaussia was formerly known as 1923 oaa907 xc .,1.6666666666666667,1.6666666666666667,1.6666666666666667
10,"1001_gaussia | formername | ""1923 oaa907 xc""",the operator of antwerp is mayor .,"['1001 gaussia was formerly known as 1923 oaa907 xc .', 'the former name of 1001 gaussia is `` 1923 oaa907 xc `` .', ""1001 gaussia ' s former name was 1923 oaa907 xc .""]",1001 gaussia was formerly known as 1923 oaa907 xc .,2.333333333333333,2.0,2.333333333333333
11,"1001_gaussia | formername | ""1923 oaa907 xc""",1001 gaussia is 1923 oaa907 xc .,"['1001 gaussia was formerly known as 1923 oaa907 xc .', 'the former name of 1001 gaussia is `` 1923 oaa907 xc `` .', ""1001 gaussia ' s former name was 1923 oaa907 xc .""]",1001 gaussia was formerly known as 1923 oaa907 xc .,2.0,1.6666666666666667,1.6666666666666667
12,"1001_gaussia | formername | ""1923 oaa907 xc""",the birth date is called the 1923 oaa907 xc .,"['1001 gaussia was formerly known as 1923 oaa907 xc .', 'the former name of 1001 gaussia is `` 1923 oaa907 xc `` .', ""1001 gaussia ' s former name was 1923 oaa907 xc .""]",1001 gaussia was formerly known as 1923 oaa907 xc .,2.0,1.75,1.5
13,"1001_gaussia | formername | ""1923 oaa907 xc""",the previous name of 1001 gaussia was 1923 oaa907 xc .,"['1001 gaussia was formerly known as 1923 oaa907 xc .', 'the former name of 1001 gaussia is `` 1923 oaa907 xc `` .', ""1001 gaussia ' s former name was 1923 oaa907 xc .""]",1001 gaussia was formerly known as 1923 oaa907 xc .,3.0,2.333333333333333,3.0
14,"1001_gaussia | formername | ""1923 oaa907 xc""",1001 gaussia was formerly called 1923 oaa907 xc .,"['1001 gaussia was formerly known as 1923 oaa907 xc .', 'the former name of 1001 gaussia is `` 1923 oaa907 xc `` .', ""1001 gaussia ' s former name was 1923 oaa907 xc .""]",1001 gaussia was formerly known as 1923 oaa907 xc .,3.0,3.0,3.0
15,"1001_gaussia | formername | ""1923 oaa907 xc""",1001 gaussia the 1923 oaa907 xc,"['1001 gaussia was formerly known as 1923 oaa907 xc .', 'the former name of 1001 gaussia is `` 1923 oaa907 xc `` .', ""1001 gaussia ' s former name was 1923 oaa907 xc .""]",1001 gaussia was formerly known as 1923 oaa907 xc .,1.8,1.6,2.2
16,"1001_gaussia | formername | ""1923 oaa907 xc""",1001 gaussia was formerly known as 1923 oaa907 xc .,"['1001 gaussia was formerly known as 1923 oaa907 xc .', 'the former name of 1001 gaussia is `` 1923 oaa907 xc `` .', ""1001 gaussia ' s former name was 1923 oaa907 xc .""]",1001 gaussia was formerly known as 1923 oaa907 xc .,3.0,3.0,3.0
17,"1001_gaussia | formername | ""1923 oaa907 xc""",the previous name of 1001 gaussia was the 1923 oaa 907 xc .,"['1001 gaussia was formerly known as 1923 oaa907 xc .', 'the former name of 1001 gaussia is `` 1923 oaa907 xc `` .', ""1001 gaussia ' s former name was 1923 oaa907 xc .""]",1001 gaussia was formerly known as 1923 oaa907 xc .,3.0,3.0,3.0
18,101_helena | apoapsis | 441092000.0 (kilometres),the runway of 01 helery is 440 9.0 square kilometres .,"['101 helena has an apoapsis of 441092000 . 0 ( kilometres ) .', '101 helena has an apoapsis of 441092000 . 0 kilometres .', 'the apoapsis of 101 helena is 441092000 . 0 kilometres .']",101 helena has an apoapsis of 441092000 . 0 ( kilometres ) .,1.6666666666666667,1.6666666666666667,1.0
19,101_helena | apoapsis | 441092000.0 (kilometres),the administrative government is governed by the flemish government .,"['101 helena has an apoapsis of 441092000 . 0 ( kilometres ) .', '101 helena has an apoapsis of 441092000 . 0 kilometres .', 'the apoapsis of 101 helena is 441092000 . 0 kilometres .']",101 helena has an apoapsis of 441092000 . 0 ( kilometres ) .,2.333333333333333,2.6666666666666665,1.0
20,101_helena | apoapsis | 441092000.0 (kilometres),101 helena is 441092000.0 .,"['101 helena has an apoapsis of 441092000 . 0 ( kilometres ) .', '101 helena has an apoapsis of 441092000 . 0 kilometres .', 'the apoapsis of 101 helena is 441092000 . 0 kilometres .']",101 helena has an apoapsis of 441092000 . 0 ( kilometres ) .,2.333333333333333,2.333333333333333,2.0
21,101_helena | apoapsis | 441092000.0 (kilometres),the apoapsis of 101 helena is 441092000 . 0 ( kilometres ) .,"['101 helena has an apoapsis of 441092000 . 0 ( kilometres ) .', '101 helena has an apoapsis of 441092000 . 0 kilometres .', 'the apoapsis of 101 helena is 441092000 . 0 kilometres .']",101 helena has an apoapsis of 441092000 . 0 ( kilometres ) .,3.0,3.0,3.0
22,101_helena | apoapsis | 441092000.0 (kilometres),the chair of 101 helena is 441092000.0 ( kilometres ) .,"['101 helena has an apoapsis of 441092000 . 0 ( kilometres ) .', '101 helena has an apoapsis of 441092000 . 0 kilometres .', 'the apoapsis of 101 helena is 441092000 . 0 kilometres .']",101 helena has an apoapsis of 441092000 . 0 ( kilometres ) .,2.2,2.2,1.2
24,101_helena | apoapsis | 441092000.0 (kilometres),101 helena apoapsis 441092000.0 ( kilometres ),"['101 helena has an apoapsis of 441092000 . 0 ( kilometres ) .', '101 helena has an apoapsis of 441092000 . 0 kilometres .', 'the apoapsis of 101 helena is 441092000 . 0 kilometres .']",101 helena has an apoapsis of 441092000 . 0 ( kilometres ) .,1.75,1.75,3.0
25,101_helena | apoapsis | 441092000.0 (kilometres),the apoapsis of 101 helena is 4.41092e8 kilometers .,"['101 helena has an apoapsis of 441092000 . 0 ( kilometres ) .', '101 helena has an apoapsis of 441092000 . 0 kilometres .', 'the apoapsis of 101 helena is 441092000 . 0 kilometres .']",101 helena has an apoapsis of 441092000 . 0 ( kilometres ) .,2.6666666666666665,3.0,3.0
27,"101_helena | discoverer | james_craig_watson,james_craig_watson | almamater | university_of_michigan,101_helena | discovered | 1868-08-15,james_craig_watson | nationality | canada,james_craig_watson | deathplace | madison,_wisconsin","the american james castle watson is the discovers of 101 helery , which is located in madison , and attended the university of michigan . he was a disnovel that was created by the american james castle and the american , james castle .","['james craig watson , who discovered 101 helena on 15th august 1868 , is a canadian national who attended the university of michigan . he died in madison , wisconsin .', '101 helena was discovered by the canadian james craig watson on august 15th 1868 . mr watson , who studied at the university of michigan , died in madison , wisconsin .', 'canadian james craig watson discovered 101 helena on august 15th , 1868 . he attended the university of michigan and died in madison , wisconsin .']","james craig watson , who discovered 101 helena on 15th august 1868 , is a canadian national who attended the university of michigan . he died in madison , wisconsin .",1.6666666666666667,1.6666666666666667,1.3333333333333333
28,"101_helena | discoverer | james_craig_watson,james_craig_watson | almamater | university_of_michigan,101_helena | discovered | 1868-08-15,james_craig_watson | nationality | canada,james_craig_watson | deathplace | madison,_wisconsin",the port authority of headquarter and mary is the birthplace of the port authority of headquarter and new jersey .,"['james craig watson , who discovered 101 helena on 15th august 1868 , is a canadian national who attended the university of michigan . he died in madison , wisconsin .', '101 helena was discovered by the canadian james craig watson on august 15th 1868 . mr watson , who studied at the university of michigan , died in madison , wisconsin .', 'canadian james craig watson discovered 101 helena on august 15th , 1868 . he attended the university of michigan and died in madison , wisconsin .']","james craig watson , who discovered 101 helena on 15th august 1868 , is a canadian national who attended the university of michigan . he died in madison , wisconsin .",1.3333333333333333,1.6666666666666667,1.0
