id,informativeness,naturalness,quality,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
0,6.0,4.0,5.0,-6.3074631690979,-6.08791971206665,"[0.6907244920730591, 0.6414585113525391]","[0.6359767913818359, 0.5946685075759888]","[0.6622210144996643, 0.6171779632568359]","[0.4444444444444444, 0.4444444444444444]","[0.2857142857142857, 0.2857142857142857]","[0.3478260821928167, 0.3478260821928167]","[0.125, 0.125]","[0.07692307692307693, 0.07142857142857142]","[0.0952380905215422, 0.09090908628099197]","[0.4444444444444444, 0.4444444444444444]","[0.2857142857142857, 0.2857142857142857]","[0.3478260821928167, 0.3478260821928167]","[0.29406130268199226, 0.24155844155844156]","[1.2183324802375697e-231, 1.2183324802375697e-231]","[0.28222730634400095, 0.18459179293121675]",0.1715435600183235,0.7307850914489286,0.6994221468893821,0.02561149425104517,0.48527291086311863
1,3.0,3.0,3.0,-5.027863502502441,-4.786620140075684,"[0.6857292652130127, 0.7756054997444153]","[0.6230918169021606, 0.663760781288147]","[0.6529116630554199, 0.7153377532958984]","[0.8888888888888888, 0.7777777777777778]","[0.5714285714285714, 0.4666666666666667]","[0.6956521691493385, 0.5833333286458334]","[0.5555555555555556, 0.5555555555555556]","[0.3333333333333333, 0.3333333333333333]","[0.4166666619791667, 0.4166666619791667]","[0.7777777777777778, 0.7777777777777778]","[0.5, 0.4666666666666667]","[0.6086956474102081, 0.5833333286458334]","[0.4536585365853659, 0.6015243902439026]","[1.3165594234639305e-231, 1.3165594234639305e-231]","[0.44358930416908793, 0.43735230653620116]",0.0335674707209054,0.31945236777824343,0.2274642665800169,0.0033329304244717967,0.18341652159424404
2,3.0,3.0,5.0,-6.186538219451904,-6.103580474853516,"[0.6724056005477905, 0.7300846576690674]","[0.5934472680091858, 0.6669056415557861]","[0.6304638981819153, 0.6970665454864502]","[0.3333333333333333, 0.6666666666666666]","[0.16666666666666666, 0.375]","[0.22222221777777784, 0.47999999539200017]","[0.125, 0.25]","[0.05263157894736842, 0.13333333333333333]","[0.07407406990397829, 0.173913038941399]","[0.3333333333333333, 0.5555555555555556]","[0.16666666666666666, 0.3125]","[0.22222221777777784, 0.399999995392]","[0.18693467336683414, 0.4601226993865031]","[1.2183324802375697e-231, 1.1023928157275093e-231]","[0.17695078387432361, 0.3555040650588749]",0.2827595892030354,0.8138136404580943,0.806494204046271,0.02561149425104517,0.5486397795851369
3,2.0,6.0,6.0,-4.751250267028809,-3.791750907897949,"[0.833760678768158, 0.8439128994941711]","[0.7009071111679077, 0.7126857042312622]","[0.7615834474563599, 0.7727677822113037]","[0.6666666666666666, 0.6666666666666666]","[0.4, 0.35294117647058826]","[0.49999999531250006, 0.46153845701183444]","[0.25, 0.125]","[0.13333333333333333, 0.0625]","[0.173913038941399, 0.08333332888888913]","[0.6666666666666666, 0.6666666666666666]","[0.4, 0.35294117647058826]","[0.49999999531250006, 0.46153845701183444]","[0.38938274696381614, 0.36700581395348836]","[1.3483065280626046e-231, 1.3483065280626046e-231]","[0.3582718178458002, 0.42124894647610867]",0.4343559911369027,0.9526436704054464,0.9500389165683693,0.9507139252385782,0.9511321707374646
4,6.0,5.0,6.0,-4.119072437286377,-4.1424102783203125,"[0.7226158976554871, 0.6903523206710815]","[0.7316994071006775, 0.8452736735343933]","[0.7271292805671692, 0.7599983811378479]","[0.6, 0.4]","[0.5294117647058824, 0.6666666666666666]","[0.5624999950195313, 0.49999999531250006]","[0.25, 0.3125]","[0.2222222222222222, 0.5555555555555556]","[0.23529411266435996, 0.399999995392]","[0.5333333333333333, 0.4]","[0.47058823529411764, 0.6666666666666666]","[0.49999999501953135, 0.49999999531250006]","[0.3707774986041318, 0.8203389830508474]","[1.2340561512781763e-231, 1.1484186507842885e-231]","[0.49719320897229446, 0.42243830315348163]",0.2296971802722955,0.8658990186225501,0.8670483260644359,0.15495636950014263,0.6293012380623763
5,3.0,4.0,2.0,-5.917170524597168,-3.982575654983521,"[0.6546879410743713, 0.6639686822891235]","[0.44777894020080566, 0.4715885519981384]","[0.5318173170089722, 0.551482617855072]","[0.75, 0.5]","[0.17647058823529413, 0.2]","[0.2857142826303855, 0.2857142816326531]","[0.0, 0.3333333333333333]","[0.0, 0.1111111111111111]","[0.0, 0.16666666291666676]","[0.75, 0.5]","[0.17647058823529413, 0.2]","[0.2857142826303855, 0.2857142816326531]","[0.09493670886075947, 0.24572649572649571]","[1.4488496539373276e-231, 1.4488496539373276e-231]","[-0.05124329447938436, 0.012641789023935313]",0.8275456616588461,0.9371267866786588,0.9456903738400626,0.9466765436318566,0.9431645680501927
6,1.0,1.0,2.0,-4.402242660522461,-4.268406867980957,"[0.5796827077865601, 0.6390966176986694]","[0.6794580221176147, 0.7042068243026733]","[0.6256172060966492, 0.6700737476348877]","[0.45454545454545453, 0.6363636363636364]","[0.5, 0.7]","[0.47619047120181407, 0.6666666616780046]","[0.15384615384615385, 0.23076923076923078]","[0.2222222222222222, 0.3333333333333333]","[0.18181817698347122, 0.2727272678925621]","[0.45454545454545453, 0.6363636363636364]","[0.5, 0.7]","[0.47619047120181407, 0.6666666616780046]","[0.2608695652173913, 0.46263586956521746]","[1.1988328686372911e-231, 1.1988328686372911e-231]","[0.2607318620145739, 0.3180883090261437]",0.5511280736520969,0.002729974607791855,0.009968291834776601,0.002484793056005878,0.005061019832858111
7,4.0,3.0,3.0,-3.765925407409668,-3.979147434234619,"[0.6828463077545166, 0.7426118850708008]","[0.7499622106552124, 0.8453161716461182]","[0.7148323059082031, 0.7906426191329956]","[0.5, 0.5]","[0.6, 0.6666666666666666]","[0.5454545404958678, 0.5714285665306124]","[0.2727272727272727, 0.36363636363636365]","[0.3333333333333333, 0.5]","[0.2999999950500001, 0.42105262670360116]","[0.4166666666666667, 0.5]","[0.5, 0.6666666666666666]","[0.4545454495867769, 0.5714285665306124]","[0.5461165048543689, 0.6528630869823657]","[1.1409851298103347e-231, 1.2627076138080564e-231]","[0.4636018778474128, 0.5017225561241705]",0.2894246017328478,0.8526765340773405,0.8777904296934329,0.9059739997478261,0.8788136545061999
8,4.0,5.0,5.0,-4.372480392456055,-3.5139639377593994,"[0.8030933737754822, 0.8608865141868591]","[0.8327177166938782, 0.8054119348526001]","[0.8176373243331909, 0.8322257995605469]","[0.7142857142857143, 0.7142857142857143]","[0.8333333333333334, 0.625]","[0.7692307642603551, 0.6666666616888889]","[0.42857142857142855, 0.42857142857142855]","[0.5, 0.375]","[0.4615384565680473, 0.3999999950222222]","[0.7142857142857143, 0.7142857142857143]","[0.8333333333333334, 0.625]","[0.7692307642603551, 0.6666666616888889]","[0.7812499999999999, 0.6411049268192124]","[1.1193096620723278e-231, 1.2387197655613557e-231]","[0.7544862857644271, 0.6693229152991431]",0.8772593911056165,0.9461737455515543,0.9569294252879729,0.8163074934418263,0.9064702214271178
9,5.0,5.0,5.0,-4.279468536376953,-3.368840456008911,"[0.8206713199615479, 0.8924700617790222]","[0.7998298406600952, 0.8557950258255005]","[0.8101165294647217, 0.8737478852272034]","[1.0, 1.0]","[0.8, 0.8]","[0.8888888839506174, 0.8888888839506174]","[0.6666666666666666, 0.6666666666666666]","[0.5, 0.5]","[0.5714285665306124, 0.5714285665306124]","[1.0, 1.0]","[0.8, 0.8]","[0.8888888839506174, 0.8888888839506174]","[0.7500000000000001, 0.8203389830508474]","[1.4488496539373276e-231, 1.6034157163765524e-231]","[0.6536843759694821, 0.6514531504951842]",0.8218659847747125,0.9328081629086501,0.9411409391427792,0.9643065327087128,0.946085211586714
