id,coherence,fluency,informativeness,relevance,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
2140_fragments,2.6666666666666665,3.333333333333333,2.6666666666666665,3.0,-2.202781438827514,-2.134214162826538,[0.8875226974487305],[0.8640315532684326],[0.8756195902824402],[1.0],[0.88],[0.9361702077863288],[0.92],[0.8214285714285714],[0.8679245233179067],[1.0],[0.88],[0.9361702077863288],[0.9084673899488716],[1.0518351895246305e-231],[0.714496345896743],0.1454870445932408,0.48017183135278446,0.5522794471116235,0.0037190521674472267,0.34539011021061844
2140_textrank,4.0,4.0,3.333333333333333,4.0,-0.9105525612831116,-1.2856775522232056,[0.4808773994445801],[0.5507112741470337],[0.5134305953979492],[0.14634146341463414],[0.24],[0.1818181771120295],[0.021739130434782608],[0.03571428571428571],[0.027027022322864223],[0.0975609756097561],[0.16],[0.12121211650596897],[0.19859374999999999],[8.147480343967206e-232],[-0.018366451451118593],0.9761461269994284,0.942390022098205,0.9510128605156087,0.9400987341068022,0.944500538906872
2140_abstractive,3.0,3.0,3.0,3.6666666666666665,-5.3578972816467285,-6.79552698135376,[0.454715371131897],[0.45073065161705017],[0.4527142345905304],[0.1111111111111111],[0.04],[0.0588235255190314],[0.0],[0.0],[0.0],[0.1111111111111111],[0.04],[0.0588235255190314],[0.01792114695340502],[0],[-0.07960322860616054],0.0101810781477285,0.026182376987998367,0.027359481683550933,0.28586397221095183,0.11313527696083371
2140_pointer_c,3.333333333333333,3.6666666666666665,3.6666666666666665,4.0,-3.894567251205444,-4.450763702392578,[0.4956721067428589],[0.5800004005432129],[0.534530758857727],[0.1111111111111111],[0.24],[0.15189872985098554],[0.0],[0.0],[0.0],[0.07407407407407407],[0.16],[0.10126581845858054],[0.17964071856287428],[7.659859945595747e-232],[-0.003226396838809098],0.5830149855502329,0.04377408950573253,0.5025485396120515,0.5774077162208666,0.3745767817795502
2140_pointer_n,3.0,4.333333333333333,3.6666666666666665,4.333333333333333,-2.302541971206665,-2.355231523513794,[0.5296103954315186],[0.5845307111740112],[0.5557169318199158],[0.17142857142857143],[0.24],[0.199999995138889],[0.025],[0.03571428571428571],[0.02941175986159249],[0.11428571428571428],[0.16],[0.1333333284722224],[0.20434083601286177],[7.199666163340923e-232],[0.036207879106553986],0.8157054082112568,0.7215174047691759,0.7380903795001045,0.6059634729858624,0.6885237524183809
2140_pointer_s,3.333333333333333,3.333333333333333,2.333333333333333,3.0,-2.3472707271575928,-2.429676055908203,[0.5288532376289368],[0.5852198004722595],[0.5556105971336365],[0.15151515151515152],[0.2],[0.17241378819857325],[0.0],[0.0],[0.0],[0.12121212121212122],[0.16],[0.13793102957788364],[0.14705882352941177],[7.437597952034396e-232],[0.04905623040775031],0.7006691473125501,0.6057685920092915,0.6181799172887732,0.10713268269762433,0.4436937306652296
2140_lede3,4.0,4.0,3.333333333333333,3.6666666666666665,-1.0444989204406738,-0.9577645659446716,[0.5498831272125244],[0.587319016456604],[0.567984938621521],[0.2631578947368421],[0.4],[0.31746031267321745],[0.075],[0.10714285714285714],[0.08823528927335667],[0.21052631578947367],[0.32],[0.25396824918115396],[0.31571639521301215],[9.309480961664223e-232],[0.048675687913880106],0.9807099098992452,0.9820258727420215,0.9289586913979528,0.964595182295736,0.9585265821452368
7569_lede3,4.333333333333333,4.666666666666667,4.666666666666667,4.0,-0.9768087267875672,-1.0164262056350708,[0.5198245644569397],[0.8320451974868774],[0.6398804187774658],[0.19318181818181818],[0.8947368421052632],[0.3177570064250153],[0.11764705882352941],[0.7],[0.20143884645722274],[0.19318181818181818],[0.8947368421052632],[0.3177570064250153],[0.5787037037037037],[5.437705553716812e-232],[0.14046976479857276],0.9276548106714692,0.9827162826874988,0.9648058552520817,0.9254461022480188,0.9576560800625331
7569_fragments,3.0,3.333333333333333,2.6666666666666665,3.333333333333333,-1.3743486404418943,-1.3053573369979858,[0.9708938002586365],[0.962410569190979],[0.9666336178779602],[1.0],[0.9473684210526315],[0.9729729679766254],[0.9473684210526315],[0.9],[0.9230769180802104],[1.0],[0.9473684210526315],[0.9729729679766254],[0.9584899408774165],[1.012071042130996e-231],[0.9316314684510222],0.9481375965339854,0.9305343075276341,0.9412055823018695,0.025880238174180094,0.6325400426678945
7569_textrank,3.333333333333333,3.333333333333333,3.333333333333333,3.6666666666666665,-1.0896844863891602,-1.8665138483047483,[0.6497161984443665],[0.8833675980567932],[0.7487369775772095],[0.35555555555555557],[0.8421052631578947],[0.4999999958251954],[0.25925925925925924],[0.7],[0.3783783744338933],[0.35555555555555557],[0.8421052631578947],[0.4999999958251954],[0.7436315246320134],[6.630398171726777e-232],[0.35650537016858486],0.8671736481074416,0.9735848319274829,0.9728336357379715,0.8545795464195779,0.9336660046950107
