id,informativeness,naturalness,quality,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
0,4.5,3.5,4.0,-4.1253581047058105,-4.661604404449463,"[0.5105615854263306, 0.6623036861419678]","[0.5419980883598328, 0.6015551090240479]","[0.5258104205131531, 0.6304694414138794]","[0.3333333333333333, 0.5555555555555556]","[0.6, 0.3333333333333333]","[0.4285714239795918, 0.4166666619791667]","[0.125, 0.375]","[0.25, 0.21428571428571427]","[0.16666666222222234, 0.2727272680991736]","[0.3333333333333333, 0.5555555555555556]","[0.6, 0.3333333333333333]","[0.4285714239795918, 0.4166666619791667]","[0.40564373897707234, 0.39062499999999994]","[1.0518351895246305e-231, 1.2508498911928379e-231]","[0.21901895446551012, 0.2533873613552242]",0.0545023268785785,0.8660367933865347,0.8912910808661367,0.9256928610041875,0.8943402450856196
1,3.0,1.0,1.0,-3.7153749465942383,-4.5346760749816895,"[0.691590428352356, 0.7861528396606445, 0.6568902730941772, 0.5173370838165283, 0.6711475849151611, 0.8608934879302979, 0.8249680995941162, 0.7634276151657104, 0.8419392704963684]","[0.6183003187179565, 0.7873366475105286, 0.6528937816619873, 0.5629818439483643, 0.6226340532302856, 0.8718862533569336, 0.7483354806900024, 0.7418240308761597, 0.7837436199188232]","[0.6528950333595276, 0.7867442965507507, 0.6548859477043152, 0.53919517993927, 0.6459812521934509, 0.8663550019264221, 0.7847855091094971, 0.7524707913398743, 0.8117998838424683]","[0.7, 0.8, 0.6, 0.3, 0.4, 0.8, 0.9, 0.8, 0.9]","[0.5, 0.8, 0.6666666666666666, 0.6, 0.4, 0.8, 0.75, 0.7272727272727273, 0.75]","[0.5833333284722223, 0.7999999950000002, 0.6315789423822715, 0.3999999955555556, 0.3999999950000001, 0.7999999950000002, 0.8181818132231407, 0.7619047569160999, 0.8181818132231407]","[0.3333333333333333, 0.5555555555555556, 0.3333333333333333, 0.2222222222222222, 0.1111111111111111, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]","[0.23076923076923078, 0.5, 0.3333333333333333, 0.5, 0.1111111111111111, 0.6666666666666666, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454]","[0.2727272678925621, 0.5263157844875347, 0.3333333283333334, 0.3076923034319527, 0.11111110611111134, 0.6666666616666668, 0.5999999950500001, 0.5999999950500001, 0.5999999950500001]","[0.6, 0.8, 0.6, 0.3, 0.3, 0.8, 0.9, 0.8, 0.9]","[0.42857142857142855, 0.8, 0.6666666666666666, 0.6, 0.3, 0.8, 0.75, 0.7272727272727273, 0.75]","[0.499999995138889, 0.7999999950000002, 0.6315789423822715, 0.3999999955555556, 0.2999999950000001, 0.7999999950000002, 0.8181818132231407, 0.7619047569160999, 0.8181818132231407]","[0.46668667466986796, 0.6880733944954129, 0.5625, 0.5353535353535354, 0.31562500000000004, 0.8950617283950617, 0.7485875706214691, 0.6726694915254237, 0.7485875706214691]","[1.0244914152188952e-231, 1.0244914152188952e-231, 1.0244914152188952e-231, 0, 1.0244914152188952e-231, 1.0244914152188952e-231, 1.0244914152188952e-231, 1.0244914152188952e-231, 1.0244914152188952e-231]","[0.3174869650683734, 0.49378293540606155, 0.4450210328114991, 0.2469436069575297, 0.3801645316863129, 0.6433696343695197, 0.5053871456268524, 0.5126740057902835, 0.5316128802595814]",0.6278271899743146,0.6358868283350808,0.525036421630938,0.014604157949314807,0.39184246930511124
2,4.5,4.5,5.0,-3.471521615982056,-4.120206832885742,"[0.7735428810119629, 0.8031065464019775, 0.7955189347267151]","[0.6676229238510132, 0.7003405094146729, 0.6523007750511169]","[0.7166905403137207, 0.7482112646102905, 0.716826319694519]","[0.5555555555555556, 0.7777777777777778, 0.5555555555555556]","[0.35714285714285715, 0.4666666666666667, 0.35714285714285715]","[0.4347826039319471, 0.5833333286458334, 0.4347826039319471]","[0.375, 0.625, 0.25]","[0.23076923076923078, 0.35714285714285715, 0.15384615384615385]","[0.28571428099773244, 0.4545454499173554, 0.19047618575963732]","[0.5555555555555556, 0.7777777777777778, 0.5555555555555556]","[0.35714285714285715, 0.4666666666666667, 0.35714285714285715]","[0.4347826039319471, 0.5833333286458334, 0.4347826039319471]","[0.3585185185185185, 0.5409071180555556, 0.37860082304526754]","[1.2508498911928379e-231, 1.2508498911928379e-231, 1.2508498911928379e-231]","[0.38338817637366773, 0.45090793114064387, 0.34039696559838317]",0.0865383691887259,0.8638053173829726,0.8829701470934931,0.19171357530642913,0.6461630132609649
3,4.0,4.0,4.0,-3.108454704284668,-4.047746181488037,"[0.7162684798240662, 0.533531129360199, 0.6462681293487549, 0.8827224969863892, 0.6827017664909363, 0.49780118465423584, 0.5399091243743896, 0.9304130673408508, 0.8847656846046448, 0.7544023394584656, 0.6652716994285583]","[0.7127137780189514, 0.5776858329772949, 0.7341133952140808, 0.8236408233642578, 0.8470584154129028, 0.6568607091903687, 0.6935428977012634, 0.9373538494110107, 0.9461783170700073, 0.8013577461242676, 0.8017843961715698]","[0.7144867181777954, 0.5547311902046204, 0.6873955726623535, 0.8521588444709778, 0.7560508847236633, 0.5663753747940063, 0.6071580052375793, 0.9338706135749817, 0.9144420027732849, 0.7771713733673096, 0.7271766662597656]","[0.625, 0.25, 0.375, 0.8125, 0.5, 0.125, 0.1875, 0.875, 0.8125, 0.5625, 0.3125]","[0.625, 0.4, 0.6, 0.8125, 0.8888888888888888, 0.3333333333333333, 0.42857142857142855, 0.875, 1.0, 0.75, 0.5555555555555556]","[0.624999995, 0.3076923029585799, 0.4615384568047337, 0.812499995, 0.639999995392, 0.18181817785123974, 0.2608695609829868, 0.874999995, 0.8965517191914388, 0.6428571379591838, 0.399999995392]","[0.4666666666666667, 0.06666666666666667, 0.2, 0.6666666666666666, 0.4, 0.0, 0.0, 0.8, 0.7333333333333333, 0.4666666666666667, 0.13333333333333333]","[0.4666666666666667, 0.1111111111111111, 0.3333333333333333, 0.6666666666666666, 0.75, 0.0, 0.0, 0.8, 0.9166666666666666, 0.6363636363636364, 0.25]","[0.4666666616666667, 0.08333332864583361, 0.24999999531250006, 0.6666666616666668, 0.5217391258979208, 0.0, 0.0, 0.7999999950000002, 0.8148148098765432, 0.5384615335798818, 0.173913038941399]","[0.625, 0.1875, 0.375, 0.8125, 0.5, 0.0625, 0.125, 0.875, 0.8125, 0.5625, 0.3125]","[0.625, 0.3, 0.6, 0.8125, 0.8888888888888888, 0.16666666666666666, 0.2857142857142857, 0.875, 1.0, 0.75, 0.5555555555555556]","[0.624999995, 0.23076922603550304, 0.4615384568047337, 0.812499995, 0.639999995392, 0.09090908694214893, 0.17391303924385643, 0.874999995, 0.8965517191914388, 0.6428571379591838, 0.399999995392]","[0.5837278106508876, 0.2977594339622642, 0.7075471698113208, 0.8075073964497042, 0.9227440498918162, 0.21428571428571427, 0.2531645569620253, 0.8737244897959183, 0.975664012101259, 0.7218239745121466, 0.6543235851041447]","[1.0832677820940877e-231, 9.109159947227211e-232, 9.109159947227211e-232, 1.0832677820940877e-231, 9.109159947227211e-232, 0, 9.109159947227211e-232, 1.0832677820940877e-231, 1.0832677820940877e-231, 9.109159947227211e-232, 9.109159947227211e-232]","[0.432935967172256, 0.18418691561986755, 0.33930376903733783, 0.6583237548159417, 0.42014514307177053, 0.1577880654788789, 0.16573207652392452, 0.826353494615343, 0.7839269550312, 0.47933410530056764, 0.33313906485832023]",0.5421506739751726,0.9277205378697396,0.9274441294278266,0.9348507581490187,0.9300051418155283
4,5.0,5.0,5.0,-3.027580738067627,-3.3570690155029297,"[0.6168294548988342, 0.5427107810974121, 0.5336440801620483, 1.0000001192092896, 0.6830559968948364, 0.8803677558898926, 0.5427563190460205, 0.731488823890686]","[0.6641461849212646, 0.6643881797790527, 0.6566625833511353, 1.0000001192092896, 0.6886900663375854, 0.9089488387107849, 0.6048751473426819, 0.7897197008132935]","[0.639613926410675, 0.597416877746582, 0.5887963771820068, 1.0000001192092896, 0.6858614683151245, 0.8944299817085266, 0.5721346139907837, 0.7594897150993347]","[0.26666666666666666, 0.13333333333333333, 0.26666666666666666, 1.0, 0.4, 0.8, 0.2, 0.4666666666666667]","[0.36363636363636365, 0.4, 0.8, 1.0, 0.5, 0.9230769230769231, 0.42857142857142855, 0.7777777777777778]","[0.3076923028106509, 0.19999999625000006, 0.3999999962500001, 0.999999995, 0.4444444395061729, 0.8571428521683674, 0.2727272683884298, 0.5833333286458334]","[0.0, 0.07142857142857142, 0.07142857142857142, 1.0, 0.14285714285714285, 0.7142857142857143, 0.0, 0.35714285714285715]","[0.0, 0.25, 0.25, 1.0, 0.16666666666666666, 0.8333333333333334, 0.0, 0.5555555555555556]","[0.0, 0.1111111076543211, 0.1111111076543211, 0.999999995, 0.1538461488757398, 0.7692307642603551, 0.0, 0.4347826039319471]","[0.2, 0.13333333333333333, 0.26666666666666666, 1.0, 0.3333333333333333, 0.8, 0.2, 0.4666666666666667]","[0.2727272727272727, 0.4, 0.8, 1.0, 0.4166666666666667, 0.9230769230769231, 0.42857142857142855, 0.7777777777777778]","[0.23076922588757406, 0.19999999625000006, 0.3999999962500001, 0.999999995, 0.37037036543209884, 0.8571428521683674, 0.2727272683884298, 0.5833333286458334]","[0.17543859649122806, 0.3125000000000001, 0.5260416666666669, 0.9998518518518519, 0.3872053872053872, 0.906986531986532, 0.1923076923076923, 0.7142857142857144]","[1.1008876702055895e-231, 1.1008876702055895e-231, 1.2183324802375697e-231, 1.2183324802375697e-231, 1.1008876702055895e-231, 1.2183324802375697e-231, 1.1008876702055895e-231, 1.1008876702055895e-231]","[0.2872623751646768, 0.10658945712515533, 0.15904722388231052, 1.0, 0.36038140603163693, 0.735520963827798, 0.13808124663025456, 0.40439824789172485]",0.0240276432462843,0.8799724195382108,0.8994798738002288,0.9599178086158967,0.9131233673181121
5,1.0,1.0,1.0,-4.080419063568115,-4.995840072631836,"[0.6590298414230347, 0.6235097646713257, 0.6436506509780884, 0.6888210773468018, 0.532282292842865, 0.6848909854888916]","[0.5752987861633301, 0.5507791042327881, 0.6129165887832642, 0.6167323589324951, 0.5264315009117126, 0.6165346503257751]","[0.6143243312835693, 0.5848920941352844, 0.6279077529907227, 0.6507864594459534, 0.5293407440185547, 0.6489176154136658]","[0.7, 0.7, 0.6, 0.8, 0.4, 0.8]","[0.4117647058823529, 0.4666666666666667, 0.5454545454545454, 0.5714285714285714, 0.36363636363636365, 0.5714285714285714]","[0.5185185138545954, 0.5599999952000001, 0.5714285664399092, 0.6666666618055556, 0.3809523759637189, 0.6666666618055556]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.2222222222222222, 0.3333333333333333]","[0.17647058823529413, 0.21428571428571427, 0.2727272727272727, 0.23076923076923078, 0.2, 0.23076923076923078]","[0.23076922624260363, 0.26086956045368626, 0.2999999950500001, 0.2727272678925621, 0.21052631080332423, 0.2727272678925621]","[0.7, 0.7, 0.6, 0.7, 0.3, 0.8]","[0.4117647058823529, 0.4666666666666667, 0.5454545454545454, 0.5, 0.2727272727272727, 0.5714285714285714]","[0.5185185138545954, 0.5599999952000001, 0.5714285664399092, 0.5833333284722223, 0.2857142807256236, 0.6666666618055556]","[0.3328191741813004, 0.43771991555242784, 0.43314500941619577, 0.5164292279411764, 0.34403669724770647, 0.5164292279411764]","[1.0244914152188952e-231, 1.0244914152188952e-231, 1.0244914152188952e-231, 1.0244914152188952e-231, 0, 1.0244914152188952e-231]","[0.20106100913302094, 0.26278325484260145, 0.34656700671843343, 0.32271683188038325, 0.2255097769771245, 0.3151233661181988]",0.5013866597171746,0.30835968154984883,0.43693412247668256,0.006672735132783204,0.25065551305310485
6,3.0,5.0,5.0,-3.321205139160156,-4.133252143859863,"[0.6690841317176819, 0.7458919286727905, 0.7549727559089661, 0.6377511024475098, 0.7037734389305115, 0.6545653939247131]","[0.5966759920120239, 0.6537100672721863, 0.6774149537086487, 0.5320837497711182, 0.7234320640563965, 0.5909547209739685]","[0.63080894947052, 0.6967653036117554, 0.7140941619873047, 0.5801451206207275, 0.7134672999382019, 0.6211357116699219]","[0.42857142857142855, 0.7142857142857143, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.2857142857142857]","[0.25, 0.4166666666666667, 0.36363636363636365, 0.3076923076923077, 0.6666666666666666, 0.18181818181818182]","[0.31578946903047095, 0.5263157848199447, 0.44444443969135805, 0.3999999954500001, 0.6153846104142012, 0.2222222174691359]","[0.0, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]","[0.0, 0.2727272727272727, 0.2, 0.16666666666666666, 0.4, 0.0]","[0.0, 0.3529411719031142, 0.24999999531250006, 0.22222221777777784, 0.36363635867768596, 0.0]","[0.42857142857142855, 0.7142857142857143, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.2857142857142857]","[0.25, 0.4166666666666667, 0.36363636363636365, 0.3076923076923077, 0.6666666666666666, 0.18181818181818182]","[0.31578946903047095, 0.5263157848199447, 0.44444443969135805, 0.3999999954500001, 0.6153846104142012, 0.2222222174691359]","[0.13043478260869565, 0.4208695652173913, 0.4207547169811321, 0.30241935483870974, 0.6147540983606558, 0.13043478260869565]","[1.1200407237786664e-231, 1.1200407237786664e-231, 1.1200407237786664e-231, 1.1200407237786664e-231, 1.1200407237786664e-231, 0]","[0.40781017864171665, 0.4316448488529969, 0.42346653810488977, 0.32653185343558144, 0.6582177830287502, 0.35640824285088346]",0.5151504422056834,0.9260488670107943,0.931203820671337,0.762998256289904,0.8734169813240117
7,3.5,4.0,4.5,-2.374176263809204,-3.465744733810425,"[0.7097441554069519, 0.8441149592399597]","[0.7395269870758057, 0.7876476645469666]","[0.7243295311927795, 0.8149043321609497]","[0.2857142857142857, 0.7142857142857143]","[0.4, 0.45454545454545453]","[0.33333332847222225, 0.5555555508024692]","[0.16666666666666666, 0.3333333333333333]","[0.25, 0.2]","[0.1999999952000001, 0.24999999531250006]","[0.2857142857142857, 0.7142857142857143]","[0.4, 0.45454545454545453]","[0.33333332847222225, 0.5555555508024692]","[0.3073770491803279, 0.4207547169811321]","[0, 1.1200407237786664e-231]","[0.36281577155251377, 0.4834535403241077]",0.6147906658129121,0.946905114457736,0.9432853851365116,0.8204496907650108,0.9035467301197527
8,3.0,4.0,3.0,-3.9188194274902335,-4.887065410614014,"[0.7592805027961731, 0.7892938852310181, 0.7216880917549133]","[0.748145341873169, 0.7892938852310181, 0.6609064340591431]","[0.7536718249320984, 0.7892938852310181, 0.6899611949920654]","[0.5714285714285714, 0.7142857142857143, 0.5714285714285714]","[0.5, 0.7142857142857143, 0.4]","[0.5333333283555556, 0.7142857092857143, 0.470588230449827]","[0.3333333333333333, 0.5, 0.3333333333333333]","[0.2857142857142857, 0.5, 0.2222222222222222]","[0.3076923027218935, 0.4999999950000001, 0.2666666618666667]","[0.5714285714285714, 0.7142857142857143, 0.5714285714285714]","[0.5, 0.7142857142857143, 0.4]","[0.5333333283555556, 0.7142857092857143, 0.470588230449827]","[0.4746835443037974, 0.6914285714285714, 0.3537735849056604]","[1.1200407237786664e-231, 0, 0]","[0.625513400421121, 0.6745057989600916, 0.42864445513837857]",0.5939147114454641,0.910070149101094,0.9213928362468344,0.8930135712572178,0.9081588522017153
9,1.0,3.0,2.0,-3.914280414581299,-4.81294059753418,"[0.5196459293365479, 0.4995996057987213]","[0.6674844622612, 0.6347061395645142]","[0.5843596458435059, 0.5591066479682922]","[0.3, 0.2]","[0.75, 0.5454545454545454]","[0.4285714244897959, 0.29268292290303394]","[0.21212121212121213, 0.12121212121212122]","[0.6363636363636364, 0.36363636363636365]","[0.3181818144318182, 0.1818181780681819]","[0.3, 0.2]","[0.75, 0.5454545454545454]","[0.4285714244897959, 0.29268292290303394]","[0.592841163310962, 0.5033557046979865]","[9.475293539507031e-232, 8.561894227089738e-232]","[0.23735723473163262, 0.15049634291109082]",0.0445816106914674,0.015263393066379,0.0167257848407415,0.0051499887712981324,0.012379722226139542
