id,informativeness,naturalness,quality,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
0,1.0,1.0,1.0,-6.556134223937988,-5.975730419158936,"[0.4605291187763214, 0.43831032514572144, 0.42539143562316895, 0.4830424189567566, 0.5050045847892761, 0.47870850563049316, 0.5116485953330994]","[0.4297996461391449, 0.4392356276512146, 0.4466787576675415, 0.5458229184150696, 0.4946713447570801, 0.463961124420166, 0.5145741701126099]","[0.4446340799331665, 0.4387724995613098, 0.4357752799987793, 0.5125172734260559, 0.49978455901145935, 0.4712194502353668, 0.5131072402000427]","[0.4444444444444444, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444]","[0.3076923076923077, 0.18181818181818182, 0.3333333333333333, 0.25, 0.36363636363636365, 0.36363636363636365, 0.3333333333333333]","[0.36363635880165296, 0.1999999950500001, 0.2666666618666667, 0.23529411266435996, 0.39999999505, 0.39999999505, 0.38095237605442184]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3333333333333333, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.23076923076923078, 0.18181818181818182, 0.3333333333333333, 0.25, 0.2727272727272727, 0.2727272727272727, 0.25]","[0.2727272678925621, 0.1999999950500001, 0.2666666618666667, 0.23529411266435996, 0.2999999950500001, 0.2999999950500001, 0.2857142808163266]","[0.1851851851851852, 0.08547008547008547, 0.15873015873015875, 0.2469135802469136, 0.2314814814814815, 0.2314814814814815, 0.21367521367521372]","[0, 0, 1.0518351895246305e-231, 1.0518351895246305e-231, 1.0518351895246305e-231, 1.0518351895246305e-231, 1.0518351895246305e-231]","[0.1281690515094145, 0.18474854150379183, 0.13637399187207455, 0.22233274064868003, 0.18185934993992503, 0.14828324089509137, 0.13323025533374966]",0.3244077555264383,0.007498402892737552,0.023717136064906972,0.002079991459048609,0.011098510138897712
1,5.0,3.0,4.0,-3.729231357574463,-4.592081546783447,"[0.6720990538597107, 0.7510232329368591, 0.7203570604324341]","[0.7440276145935059, 0.6964714527130127, 0.671021580696106]","[0.7062366008758545, 0.7227193117141724, 0.6948146224021912]","[0.375, 0.375, 0.5]","[0.5, 0.2727272727272727, 0.4]","[0.4285714236734694, 0.3157894688088643, 0.4444444395061729]","[0.2857142857142857, 0.2857142857142857, 0.14285714285714285]","[0.4, 0.2, 0.1111111111111111]","[0.33333332847222225, 0.23529411280276827, 0.12499999507812519]","[0.375, 0.375, 0.5]","[0.5, 0.2727272727272727, 0.4]","[0.4285714236734694, 0.3157894688088643, 0.4444444395061729]","[0.47491039426523296, 0.41682242990654206, 0.3795918367346939]","[1.0832677820940877e-231, 1.0832677820940877e-231, 1.0832677820940877e-231]","[0.3272582590462484, 0.3483759466642504, 0.40135004712058664]",0.7593565592696204,0.9474849924657972,0.9553460276658726,0.7736226216219926,0.8921512139178874
2,4.0,4.0,4.5,-3.394810676574707,-4.194599151611328,[0.7438698410987854],[0.6884623169898987],[0.7150943875312805],[0.5],[0.4],[0.4444444395061729],[0.14285714285714285],[0.1111111111111111],[0.12499999507812519],[0.5],[0.4],[0.4444444395061729],[0.3795918367346939],[1.0832677820940877e-231],[0.38051532399519383],0.7626095491243753,0.8766257601962234,0.8955476556647481,0.15600087727588136,0.642724764378951
3,4.5,4.5,4.5,-4.449429988861084,-4.3569111824035645,[0.7704979777336121],[0.6286795139312744],[0.6924014687538147],[0.625],[0.3333333333333333],[0.43478260415879016],[0.14285714285714285],[0.07142857142857142],[0.095238090793651],[0.5],[0.26666666666666666],[0.3478260824196598],[0.2981740481740482],[1.2882297539194154e-231],[0.34961530576872335],0.2675266697800671,0.8925226253400977,0.9117498600716546,0.9552464111940351,0.9198396322019291
4,3.0,5.0,3.0,-3.800715208053589,-4.470879077911377,"[0.9362800121307373, 0.5652757883071899, 0.566277027130127, 0.6617013216018677, 0.5736986994743347, 0.5860903263092041, 0.6769413948059082]","[0.8815843462944031, 0.5942111015319824, 0.6249281167984009, 0.7615224123001099, 0.5918081998825073, 0.6317006349563599, 0.7907111644744873]","[0.9081093668937683, 0.5793824195861816, 0.5941586494445801, 0.7081112861633301, 0.5826127529144287, 0.6080413460731506, 0.7294167280197144]","[0.875, 0.3125, 0.3125, 0.5625, 0.3125, 0.375, 0.4375]","[0.875, 0.35714285714285715, 0.38461538461538464, 0.75, 0.35714285714285715, 0.5454545454545454, 0.6363636363636364]","[0.874999995, 0.33333332835555557, 0.34482758126040436, 0.6428571379591838, 0.33333332835555557, 0.44444443961591223, 0.5185185136899864]","[0.75, 0.0, 0.125, 0.3125, 0.0625, 0.125, 0.25]","[0.75, 0.0, 0.16666666666666666, 0.4166666666666667, 0.07692307692307693, 0.2, 0.4]","[0.749999995, 0.0, 0.14285713795918387, 0.357142852244898, 0.0689655122948874, 0.1538461491124262, 0.3076923029585799]","[0.875, 0.3125, 0.3125, 0.5, 0.3125, 0.375, 0.4375]","[0.875, 0.35714285714285715, 0.38461538461538464, 0.6666666666666666, 0.35714285714285715, 0.5454545454545454, 0.6363636363636364]","[0.874999995, 0.33333332835555557, 0.34482758126040436, 0.5714285665306124, 0.33333332835555557, 0.44444443961591223, 0.5185185136899864]","[0.901770595597438, 0.17482517482517484, 0.33283582089552244, 0.6996268656716419, 0.2601398601398602, 0.4406130268199234, 0.5796973961998593]","[1.1808001696991507e-231, 1.1808001696991507e-231, 1.1808001696991507e-231, 1.0669733992029681e-231, 1.1808001696991507e-231, 1.1808001696991507e-231, 1.0669733992029681e-231]","[0.8782868948683198, 0.15603312711582207, 0.17368108031910034, 0.40658738743715817, 0.1639303043557918, 0.2427331376611992, 0.35209106079500563]",0.0271220539441145,0.8149635868247913,0.8489213993257956,0.8119593109340137,0.8252814323615336
5,6.0,6.0,6.0,-2.8830454349517822,-3.419022560119629,"[0.7134089469909668, 0.6749547719955444, 0.9096291065216064]","[0.7046654224395752, 0.6561729907989502, 0.894858717918396]","[0.7090102434158325, 0.6654313802719116, 0.902183473110199]","[0.375, 0.3125, 0.875]","[0.375, 0.4166666666666667, 0.875]","[0.37499999500000003, 0.357142852244898, 0.874999995]","[0.2, 0.2, 0.8]","[0.1875, 0.25, 0.8]","[0.19354838210197725, 0.22222221728395072, 0.7999999950000002]","[0.3125, 0.3125, 0.875]","[0.3125, 0.4166666666666667, 0.875]","[0.31249999500000003, 0.357142852244898, 0.874999995]","[0.41558801775147924, 0.36059536596593533, 0.9363888888888889]","[9.109159947227211e-232, 9.109159947227211e-232, 0]","[0.37968246379894155, 0.3457336975428693, 0.8574813038696115]",0.6795943735797776,0.9648062927901389,0.9666806763922482,0.9628890210558121,0.9647919967460664
6,6.0,4.0,3.0,-2.974444627761841,-3.5762362480163574,"[0.9183918237686157, 0.9885273575782776, 0.7023482322692871]","[0.88765549659729, 0.9440176486968994, 0.7627602219581604]","[0.9027621150016785, 0.9657599329948425, 0.7313086986541748]","[0.7333333333333333, 0.9333333333333333, 0.3333333333333333]","[0.7857142857142857, 0.875, 0.5]","[0.7586206846611178, 0.9032258014568159, 0.39999999520000007]","[0.6, 0.8666666666666667, 0.0]","[0.6428571428571429, 0.8125, 0.0]","[0.6206896501783592, 0.8387096724245579, 0.0]","[0.7333333333333333, 0.9333333333333333, 0.26666666666666666]","[0.7857142857142857, 0.875, 0.4]","[0.7586206846611178, 0.9032258014568159, 0.31999999520000005]","[0.8556369763705475, 0.9458210059171597, 0.2608695652173913]","[1.1988328686372911e-231, 1.1988328686372911e-231, 9.109159947227211e-232]","[0.7341889443729765, 0.8726134491379187, 0.36498494932195424]",0.2760912380479556,0.9337659950565221,0.9345977916982762,0.9556861021424888,0.9413499629657623
7,4.0,5.0,6.0,-2.5659661293029785,-3.0065252780914307,"[0.47664669156074524, 0.5331184267997742, 1.0, 0.49356502294540405, 0.6747965812683105, 0.6150044202804565]","[0.45379719138145447, 0.47033262252807617, 1.0, 0.5063269734382629, 0.6521186828613281, 0.6246663928031921]","[0.4649413824081421, 0.49976128339767456, 1.0, 0.4998645782470703, 0.6632637977600098, 0.6197977662086487]","[0.09090909090909091, 0.09090909090909091, 1.0, 0.09090909090909091, 0.45454545454545453, 0.2727272727272727]","[0.14285714285714285, 0.125, 1.0, 0.16666666666666666, 0.4166666666666667, 0.375]","[0.11111110635802489, 0.1052631530193908, 0.999999995, 0.11764705425605555, 0.434782603705104, 0.3157894688088643]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.999999995, 0.0, 0.0, 0.0]","[0.09090909090909091, 0.09090909090909091, 1.0, 0.09090909090909091, 0.36363636363636365, 0.2727272727272727]","[0.14285714285714285, 0.125, 1.0, 0.16666666666666666, 0.3333333333333333, 0.375]","[0.11111110635802489, 0.1052631530193908, 0.999999995, 0.11764705425605555, 0.3478260819659736, 0.3157894688088643]","[0.13333333333333333, 0.09803921568627452, 0.9997106481481481, 0.06666666666666667, 0.20833333333333337, 0.16129032258064518]","[9.788429383461836e-232, 0, 9.788429383461836e-232, 0, 9.788429383461836e-232, 0]","[0.01848334268337337, 0.13755667678251637, 1.0, 0.10031573730280108, 0.22830181187793508, 0.2737322069384437]",0.6912852583067584,0.9114067079895916,0.9062007367395651,0.9467682764787931,0.9214585737359834
8,6.0,6.0,6.0,-2.6375977993011475,-3.277235746383667,"[0.9842492341995239, 0.8640804886817932]","[0.9944599866867065, 0.8308675289154053]","[0.9893282651901245, 0.847148597240448]","[0.9285714285714286, 0.7142857142857143]","[1.0, 0.6666666666666666]","[0.9629629579698218, 0.6896551674197384]","[0.8461538461538461, 0.5384615384615384]","[0.9166666666666666, 0.5]","[0.879999995008, 0.5185185135253774]","[0.9285714285714286, 0.6428571428571429]","[1.0, 0.6]","[0.9629629579698218, 0.6206896501783592]","[0.9905596458737974, 0.6620805369127516]","[1.2395288183339461e-231, 1.1200407237786664e-231]","[0.9142039450917145, 0.6677865167557502]",0.0686327386965337,0.9311505298253707,0.934773429385765,0.9291412988108714,0.9316884193406691
9,6.0,6.0,6.0,-2.4525506496429443,-3.2536916732788086,"[0.7850164175033569, 0.7000148296356201, 0.7064782977104187, 0.9704652428627014]","[0.8224432468414307, 0.7388343214988708, 0.724929690361023, 0.9645249247550964]","[0.8032941222190857, 0.7189008593559265, 0.7155850529670715, 0.9674859642982483]","[0.6428571428571429, 0.35714285714285715, 0.35714285714285715, 0.9285714285714286]","[0.6923076923076923, 0.5, 0.4166666666666667, 0.9285714285714286]","[0.6666666616735254, 0.41666666180555556, 0.38461537964497045, 0.9285714235714286]","[0.38461538461538464, 0.23076923076923078, 0.23076923076923078, 0.8461538461538461]","[0.4166666666666667, 0.3333333333333333, 0.2727272727272727, 0.8461538461538461]","[0.39999999500800004, 0.2727272678925621, 0.24999999503472223, 0.8461538411538462]","[0.6428571428571429, 0.35714285714285715, 0.35714285714285715, 0.9285714285714286]","[0.6923076923076923, 0.5, 0.4166666666666667, 0.9285714285714286]","[0.6666666616735254, 0.41666666180555556, 0.38461537964497045, 0.9285714235714286]","[0.7156488549618321, 0.5408653846153846, 0.46106557377049184, 0.9268808114961962]","[1.1200407237786664e-231, 1.1200407237786664e-231, 1.1200407237786664e-231, 1.2395288183339461e-231]","[0.6104546518947285, 0.41166546587927677, 0.40758873759144987, 0.9075722325423362]",0.0302595541921489,0.9165249989589639,0.9141575995401066,0.9144399534755602,0.9150408506582103
