id,Understandable,Natural,Maintains Context,Engaging,Uses Knowledge,Overall,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
0_KV-MemNN,1.0,3.0,1.0,3.0,0.6666666666666666,2.0,-4.068661689758301,-4.707963466644287,[0.44299575686454773],[0.4413420557975769],[0.44216737151145935],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.07352941176470588],[9.418382295637229e-232],[-0.09903850587547969],0.2399611387430176,0.22711479373910853,0.2165233079631476,0.016512294477353428,0.1533834653932032
0_Seq2Seq,1.0,1.6666666666666667,3.0,1.6666666666666667,0.0,3.0,-2.57314682006836,-4.192627906799316,[0.4495500326156616],[0.49324721097946167],[0.47038599848747253],[0.16666666666666666],[0.25],[0.1999999952000001],[0.0],[0.0],[0.0],[0.16666666666666666],[0.25],[0.1999999952000001],[0.15384615384615385],[1.1896457329133973e-231],[0.29577216504113524],0.8391466569977082,0.11282337176082481,0.17498357024080247,0.027429522677991272,0.10507882155987285
0_Language Model,0.3333333333333333,2.333333333333333,1.0,1.6666666666666667,0.0,2.0,-3.4286210536956787,-5.137809753417969,[0.5347452163696289],[0.48392537236213684],[0.5080676674842834],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.07936507936507937],[1.2508498911928379e-231],[0.12203985032517595],0.3178012765489533,0.10857603843267669,0.44623430389825575,0.45304530187786485,0.33595188140293236
0_New Human Generated,1.0,3.0,3.0,3.0,1.0,5.0,-3.452486276626587,-4.205271720886231,[0.4634912610054016],[0.45872387290000916],[0.46109527349472046],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.07692307692307693],[1.0003688322288243e-231],[-0.011976510525727235],0.0629259866116215,0.7495976475832122,0.7500686802338317,0.9413468603808843,0.8136710627326428
1_KV-MemNN,0.3333333333333333,1.6666666666666667,1.0,1.6666666666666667,0.0,1.3333333333333333,-4.298622608184815,-4.196019649505615,[0.4274998605251312],[0.5050477981567383],[0.4630494713783264],[0.06666666666666667],[0.1111111111111111],[0.08333332864583361],[0.0],[0.0],[0.0],[0.06666666666666667],[0.1111111111111111],[0.08333332864583361],[0.05],[1.0377133938315695e-231],[-0.10416404619505482],0.1666979708793934,0.15763078655614307,0.06371818790634452,0.9252113908506895,0.3821867884377257
1_Seq2Seq,1.0,2.6666666666666665,2.0,2.6666666666666665,0.3333333333333333,2.6666666666666665,-3.1216063499450684,-3.903843402862549,[0.5360578894615173],[0.5425640940666199],[0.5392913222312927],[0.09090909090909091],[0.1111111111111111],[0.09999999505000023],[0.0],[0.0],[0.0],[0.09090909090909091],[0.1111111111111111],[0.09999999505000023],[0.05263157894736842],[1.2395288183339461e-231],[0.0905431604870679],0.3315005932180797,0.12623757400544025,0.1395695222010098,0.8431536538336958,0.3696535833467152
1_Language Model,1.0,3.0,1.0,1.3333333333333333,0.0,2.333333333333333,-2.8989953994750977,-3.62298583984375,[0.5225894451141357],[0.47736501693725586],[0.49895453453063965],[0.25],[0.2222222222222222],[0.23529411266435996],[0.0],[0.0],[0.0],[0.25],[0.2222222222222222],[0.23529411266435996],[0.11235955056179774],[1.2882297539194154e-231],[0.05489480978344008],0.0638132377764647,0.053304035459704587,0.0591666675359041,0.893251879744204,0.3352408609132709
1_New Human Generated,1.0,2.6666666666666665,3.0,3.0,1.0,4.666666666666667,-3.118259906768799,-3.3220129013061523,[0.5196723937988281],[0.5606877207756042],[0.5394014716148376],[0.08333333333333333],[0.1111111111111111],[0.09523809034013632],[0.0],[0.0],[0.0],[0.08333333333333333],[0.1111111111111111],[0.09523809034013632],[0.05263157894736842],[1.2395288183339461e-231],[0.07863699957799009],0.6302852946382828,0.25066112545376656,0.3797071715783337,0.2877523361747979,0.30604021106896606
2_KV-MemNN,1.0,2.6666666666666665,2.0,3.0,0.3333333333333333,3.0,-4.321244716644287,-5.503029823303223,[0.40158602595329285],[0.41024622321128845],[0.4058699309825897],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[9.257324954728539e-232],[0.0204499066553967],0.0519845487453945,0.27371861578328643,0.5539942054012441,0.3905490690327865,0.40608729673910576
2_Seq2Seq,0.6666666666666666,1.6666666666666667,3.0,2.0,0.3333333333333333,3.0,-2.757692575454712,-4.123374938964844,[0.4864477217197418],[0.42121997475624084],[0.4514901340007782],[0.3333333333333333],[0.4],[0.36363635867768596],[0.0],[0.0],[0.0],[0.3333333333333333],[0.4],[0.36363635867768596],[0.49145299145299143],[1.1200407237786664e-231],[0.2887085301036266],0.2681735256677797,0.3767076720559135,0.43084077998415127,0.07371814964621641,0.293755533895427
