id,Understandable,Natural,Maintains Context,Engaging,Uses Knowledge,Overall,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
0_Argmax Decoding,0.6666666666666666,3.0,1.0,2.333333333333333,0.0,3.333333333333333,-3.1607255935668945,-3.819899320602417,[0.5402583479881287],[0.5037633776664734],[0.5213730335235596],[0.4],[0.2222222222222222],[0.285714281122449],[0.0],[0.0],[0.0],[0.25],[0.1388888888888889],[0.17857142397959197],[0.18073075250108744],[1.2183324802375697e-231],[0.12004748663640918],0.4141731256476665,0.30467971306720854,0.47741620566027965,0.9460926778853467,0.5760628655376117
0_Nucleus Decoding (p = 0.3),0.3333333333333333,2.333333333333333,1.6666666666666667,2.6666666666666665,0.0,2.6666666666666665,-3.748258829116821,-3.983873844146729,[0.46397674083709717],[0.46673333644866943],[0.4653509259223938],[0.2916666666666667],[0.19444444444444445],[0.2333333285333334],[0.0],[0.0],[0.0],[0.20833333333333334],[0.1388888888888889],[0.16666666186666684],[0.12755102040816327],[1.1988328686372911e-231],[0.09430579630488034],0.0378747167508152,0.30917612908225,0.16809315638579747,0.7339340836794843,0.40373445638251065
0_Nucleus Decoding (p = 0.5),0.6666666666666666,2.333333333333333,1.3333333333333333,1.3333333333333333,0.0,2.0,-3.314568996429444,-4.385847091674805,[0.5103451609611511],[0.42122116684913635],[0.46151986718177795],[0.16666666666666666],[0.05555555555555555],[0.0833333295833335],[0.0],[0.0],[0.0],[0.16666666666666666],[0.05555555555555555],[0.0833333295833335],[0.06684491978609625],[1.2395288183339461e-231],[-0.07527590004404194],0.4187083748444997,0.03410225550210608,0.33447126332191107,0.8126864855933504,0.39375333480578917
0_Nucleus Decoding (p = 0.7),0.3333333333333333,3.0,1.3333333333333333,2.333333333333333,0.0,3.0,-3.0362706184387207,-3.667796850204468,[0.5609909296035767],[0.5452542901039124],[0.5530106425285339],[0.34782608695652173],[0.2222222222222222],[0.2711864359207125],[0.0],[0.0],[0.0],[0.34782608695652173],[0.2222222222222222],[0.2711864359207125],[0.16378865979381443],[1.184298875206812e-231],[0.12992694703519458],0.0949480993892842,0.24063610969136842,0.24535649694273917,0.9250697659994878,0.47035412421119843
0_New Human Generated,1.0,3.0,2.6666666666666665,2.6666666666666665,0.6666666666666666,4.666666666666667,-3.566513538360596,-5.0160908699035645,[0.5314428806304932],[0.5202409625053406],[0.5257822275161743],[0.30434782608695654],[0.19444444444444445],[0.2372881308359668],[0.0],[0.0],[0.0],[0.21739130434782608],[0.1388888888888889],[0.16949152066647527],[0.14322916666666669],[1.1640469867513693e-231],[-0.02246242196749515],0.2816097483265025,0.3506833241663141,0.36709387611437433,0.7820956231075833,0.49995760779609055
1_Argmax Decoding,1.0,2.6666666666666665,2.6666666666666665,2.0,0.0,3.6666666666666665,-1.9707502126693728,-2.8309578895568848,[0.587658166885376],[0.49366849660873413],[0.5365784764289856],[0.3333333333333333],[0.125],[0.18181817785123974],[0.16666666666666666],[0.05405405405405406],[0.08163264936276568],[0.3333333333333333],[0.125],[0.18181817785123974],[0.16571641711514892],[1.1200407237786664e-231],[0.01942125405081585],0.0408125022561479,0.8145475168985548,0.3775249804324093,0.9012406099190048,0.6977710357499896
1_Nucleus Decoding (p = 0.3),1.0,2.333333333333333,1.6666666666666667,1.6666666666666667,0.0,2.0,-1.828174352645874,-2.1863553524017334,[0.4893120229244232],[0.3791569769382477],[0.4272485673427582],[0.75],[0.1875],[0.2999999968],[0.125],[0.02702702702702703],[0.04444444152098785],[0.75],[0.1875],[0.2999999968],[0.2151948051948052],[1.2882297539194154e-231],[-0.061396422253828575],0.8588644221440214,0.020276532014998513,0.9162989313863281,0.8731209948294375,0.6032321527435881
1_Nucleus Decoding (p = 0.5),0.0,1.0,1.0,1.0,0.0,1.0,-3.1989166736602783,-3.50175404548645,[0.5091027021408081],[0.47001582384109497],[0.48877909779548645],[0.17391304347826086],[0.125],[0.1454545405884299],[0.03125],[0.02702702702702703],[0.028985502272632652],[0.17391304347826086],[0.125],[0.1454545405884299],[0.13104217980295568],[1.0446550074992694e-231],[-0.01893584819117433],0.2594381187539595,0.06831466220773383,0.41456411675503124,0.4742082039433946,0.3190289943020532
1_Nucleus Decoding (p = 0.7),0.6666666666666666,2.333333333333333,1.6666666666666667,1.6666666666666667,0.0,2.0,-3.873267412185669,-4.773290157318115,[0.5103424787521362],[0.47764745354652405],[0.4934540092945099],[0.3],[0.1875],[0.23076922603550304],[0.0],[0.0],[0.0],[0.2],[0.125],[0.1538461491124262],[0.1226577587556762],[1.1896457329133973e-231],[-0.02945665386240992],0.1158121013107192,0.08196500476801848,0.08775495399954425,0.41067863480276595,0.1934661978567762
1_New Human Generated,1.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,0.3333333333333333,3.6666666666666665,-1.7430880069732666,-2.876317024230957,[0.5929640531539917],[0.493121862411499],[0.5384538173675537],[0.4],[0.1875],[0.25531914459031246],[0.125],[0.05405405405405406],[0.07547169389818464],[0.4],[0.1875],[0.25531914459031246],[0.15050273641338935],[1.1484186507842885e-231],[-0.04682301927594956],0.5229468681741688,0.8648752474968973,0.7427192215533011,0.6851540468424384,0.7642495052975455
2_Argmax Decoding,1.0,2.333333333333333,2.333333333333333,2.0,0.6666666666666666,3.333333333333333,-1.9793723821640008,-2.905078887939453,[0.4853297770023346],[0.46585822105407715],[0.47539472579956055],[0.3888888888888889],[0.1891891891891892],[0.25454545014214885],[0.08333333333333333],[0.047619047619047616],[0.060606055977961794],[0.3888888888888889],[0.1891891891891892],[0.25454545014214885],[0.1643312298935907],[9.857609866842017e-232],[-0.01259256011777432],0.6954539369143322,0.08722727144440219,0.17492492641282673,0.8794364371583521,0.3805295450051937
2_Nucleus Decoding (p = 0.3),0.3333333333333333,1.6666666666666667,2.0,1.6666666666666667,0.6666666666666666,2.6666666666666665,-2.927443027496338,-3.7954723834991455,[0.576704740524292],[0.4624040424823761],[0.5132679343223572],[0.35714285714285715],[0.13513513513513514],[0.19607842738946568],[0.0],[0.0],[0.0],[0.35714285714285715],[0.13513513513513514],[0.19607842738946568],[0.08139534883720931],[1.1988328686372911e-231],[-0.1449389656666309],0.5947071248951179,0.332416452767771,0.6259686685196016,0.7402827627662081,0.5662226280178603
2_Nucleus Decoding (p = 0.5),0.0,1.3333333333333333,2.0,1.6666666666666667,1.0,2.0,-3.67952036857605,-4.5387139320373535,[0.4813889265060425],[0.4677516222000122],[0.4744722843170166],[0.4090909090909091],[0.24324324324324326],[0.30508474108589495],[0.038461538461538464],[0.023809523809523808],[0.02941175998269972],[0.36363636363636365],[0.21621621621621623],[0.27118643600114917],[0.16693376068376067],[1.1200407237786664e-231],[-0.04540921435623968],0.2067495067851873,0.03733036554627664,0.035392602275528366,0.40212163685527247,0.15828153489235916
2_Nucleus Decoding (p = 0.7),1.0,2.333333333333333,2.333333333333333,2.0,0.0,3.333333333333333,-3.61510968208313,-4.496948719024658,[0.49887388944625854],[0.4845708906650543],[0.4916183650493622],[0.2222222222222222],[0.16216216216216217],[0.18749999512207044],[0.03225806451612903],[0.023809523809523808],[0.027397255387503212],[0.2222222222222222],[0.16216216216216217],[0.18749999512207044],[0.10729123864310826],[1.1896457329133973e-231],[0.06661382243561542],0.1307470169517851,0.06664837274975788,0.07076128963813402,0.7154385170536907,0.2842827264805275
2_New Human Generated,1.0,3.0,3.0,3.0,1.0,5.0,-2.687663555145264,-3.631529092788696,[0.5249856114387512],[0.5565097332000732],[0.5402882695198059],[0.28205128205128205],[0.2972972972972973],[0.28947367921398903],[0.047619047619047616],[0.047619047619047616],[0.04761904261904814],[0.28205128205128205],[0.2972972972972973],[0.28947367921398903],[0.23081616052060733],[9.157231061812019e-232],[0.09125253867805105],0.1427662198548699,0.796549785456849,0.3526969878586235,0.6266048995575143,0.591950557624329
3_Argmax Decoding,0.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,-3.479097843170166,-5.262485980987549,[0.5660417079925537],[0.45313382148742676],[0.5033336281776428],[0.2222222222222222],[0.05714285714285714],[0.09090908765495878],[0.0],[0.0],[0.0],[0.2222222222222222],[0.05714285714285714],[0.09090908765495878],[0.037783375314861464],[1.3483065280626046e-231],[-0.052037331046952184],0.6117985430603823,0.06104498799228455,0.47891945822439036,0.692934915348763,0.4109664538551459
3_Nucleus Decoding (p = 0.3),0.3333333333333333,2.333333333333333,1.0,1.3333333333333333,1.0,1.3333333333333333,-2.797668695449829,-4.411784648895264,[0.6341382265090942],[0.44380122423171997],[0.5221652984619141],[0.45454545454545453],[0.14285714285714285],[0.2173913007088847],[0.2],[0.04878048780487805],[0.07843136939638615],[0.36363636363636365],[0.11428571428571428],[0.17391303983931955],[0.09346733668341707],[1.3165594234639305e-231],[0.005762983944279654],0.0392033802313781,0.021886534531023513,0.05415198825971329,0.8440574952743456,0.30669867268836076
