id,fluency,grammar,semantics,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
0,1.6666666666666667,1.6666666666666667,1.3333333333333333,-5.431560516357422,-4.5638346672058105,"[0.673821210861206, 0.6021517515182495, 0.6885130405426025]","[0.6969215869903564, 0.628186047077179, 0.7024587392807007]","[0.6851767897605896, 0.6148934364318848, 0.6954159736633301]","[0.3333333333333333, 0.3333333333333333, 0.4444444444444444]","[0.2727272727272727, 0.3333333333333333, 0.4]","[0.2999999950500001, 0.3333333283333334, 0.42105262659279785]","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111]","[0.1, 0.125, 0.1111111111111111]","[0.1052631529085875, 0.11764705384083066, 0.11111110611111134]","[0.3333333333333333, 0.2222222222222222, 0.2222222222222222]","[0.2727272727272727, 0.2222222222222222, 0.2]","[0.2999999950500001, 0.22222221722222232, 0.21052631080332423]","[0.12605042016806722, 0.14851485148514848, 0.18181818181818182]","[1.0003688322288243e-231, 1.0003688322288243e-231, 1.0003688322288243e-231]","[0.20707335275364647, 0.17432186754391787, 0.22484940726747105]",0.0466859676196025,0.37853537244048646,0.44655574698821393,0.0037385728049589965,0.2762765640778865
1,2.75,2.75,1.0,-5.9048991203308105,-5.609100341796875,"[0.5228161811828613, 0.4989720582962036, 0.5233839750289917]","[0.44253554940223694, 0.4362773299217224, 0.4626160264015198]","[0.4793377220630646, 0.4655233323574066, 0.4911274015903473]","[0.14285714285714285, 0.0, 0.14285714285714285]","[0.09090909090909091, 0.0, 0.1]","[0.11111110635802489, 0.0, 0.11764705397923896]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.14285714285714285, 0.0, 0.14285714285714285]","[0.09090909090909091, 0.0, 0.1]","[0.11111110635802489, 0.0, 0.11764705397923896]","[0.0847457627118644, 0.05000000000000001, 0.09174311926605505]","[1.0244914152188952e-231, 1.0244914152188952e-231, 1.0244914152188952e-231]","[-0.1071199925472972, -0.1567240544307369, -0.1560334819802589]",0.2017332024260673,0.5081075906570952,0.6727320314358489,0.774240662509432,0.651693428200792
2,2.0,2.333333333333333,1.0,-3.7978880405426025,-2.7329421043396,"[0.8068711161613464, 0.7829354405403137, 0.7385057210922241]","[0.7008044123649597, 0.7062392234802246, 0.6297034025192261]","[0.7501068115234375, 0.742612361907959, 0.6797784566879272]","[0.8333333333333334, 0.8333333333333334, 0.8333333333333334]","[0.45454545454545453, 0.5555555555555556, 0.5]","[0.5882352895501731, 0.6666666618666668, 0.6249999953125001]","[0.6, 0.6, 0.6]","[0.3, 0.375, 0.3333333333333333]","[0.3999999955555556, 0.4615384568047337, 0.4285714239795918]","[0.8333333333333334, 0.5, 0.5]","[0.45454545454545453, 0.3333333333333333, 0.3]","[0.5882352895501731, 0.39999999520000007, 0.3749999953125]","[0.3878260869565217, 0.3835051546391753, 0.35094339622641507]","[9.709385502639237e-232, 9.709385502639237e-232, 9.709385502639237e-232]","[0.36309299923203764, 0.4120694991161482, 0.23587336502701506]",0.2697295188764305,0.6585179594203189,0.7610469996979206,0.004552907452228485,0.4747059555234893
3,3.0,2.6666666666666665,2.333333333333333,-4.93051290512085,-2.759577989578247,"[0.8127200603485107, 0.921725869178772, 0.7598894834518433]","[0.7977672815322876, 0.9469741582870483, 0.74460768699646]","[0.8051742315292358, 0.9341794848442078, 0.752170979976654]","[1.0, 1.0, 0.6666666666666666]","[0.8181818181818182, 1.0, 0.6]","[0.8999999950500001, 0.999999995, 0.6315789423822715]","[0.75, 1.0, 0.375]","[0.6, 1.0, 0.3333333333333333]","[0.6666666617283951, 0.999999995, 0.35294117148788934]","[0.7777777777777778, 1.0, 0.6666666666666666]","[0.6363636363636364, 1.0, 0.6]","[0.6999999950500001, 0.999999995, 0.6315789423822715]","[0.6973216154007116, 0.8950617283950617, 0.46890927624872564]","[1.3483065280626046e-231, 1.3483065280626046e-231, 1.0244914152188952e-231]","[0.6171165117972793, 0.9117208127469082, 0.5270826609426863]",0.9012565073807852,0.9791314314717642,0.9788280417106372,0.06208465209399119,0.6733480417587976
4,1.75,2.25,1.5,-4.509592056274414,-3.0837223529815674,"[0.7981242537498474, 0.7220940589904785, 0.7405986785888672]","[0.8325287699699402, 0.7824983596801758, 0.7431227564811707]","[0.8149635195732117, 0.7510837316513062, 0.7418585419654846]","[0.6666666666666666, 0.6666666666666666, 0.6666666666666666]","[0.7272727272727273, 0.8888888888888888, 0.8]","[0.6956521689224953, 0.7619047570068028, 0.7272727223140496]","[0.5454545454545454, 0.5454545454545454, 0.2727272727272727]","[0.6, 0.75, 0.3333333333333333]","[0.5714285664399092, 0.6315789424930748, 0.2999999950500001]","[0.6666666666666666, 0.5, 0.5]","[0.7272727272727273, 0.6666666666666666, 0.6]","[0.6956521689224953, 0.5714285665306124, 0.5454545404958678]","[0.6437241735537189, 0.7281553398058254, 0.4750279017857143]","[1.2627076138080564e-231, 1.2627076138080564e-231, 9.594503055152632e-232]","[0.5209717116262385, 0.4658693236536068, 0.4744736636033341]",0.3395708664336797,0.9624694778675696,0.9575127203525903,0.018973501894055517,0.6463185667047385
6,1.0,1.6666666666666667,2.333333333333333,-4.130055904388428,-2.985065460205078,"[0.7764527201652527, 0.8369302749633789, 0.7931644916534424]","[0.7745199203491211, 0.8784754276275635, 0.7997804880142212]","[0.7754850387573242, 0.8571997880935669, 0.7964587807655334]","[0.8888888888888888, 0.8888888888888888, 0.7777777777777778]","[0.7272727272727273, 0.8888888888888888, 0.7]","[0.79999999505, 0.888888883888889, 0.7368421002770082]","[0.75, 0.75, 0.375]","[0.6, 0.75, 0.3333333333333333]","[0.6666666617283951, 0.749999995, 0.35294117148788934]","[0.7777777777777778, 0.8888888888888888, 0.7777777777777778]","[0.6363636363636364, 0.8888888888888888, 0.7]","[0.6999999950500001, 0.888888883888889, 0.7368421002770082]","[0.5747427175998604, 0.6792413935271077, 0.39480452674897115]","[1.2508498911928379e-231, 1.2508498911928379e-231, 0]","[0.5896327954025125, 0.7205626839166236, 0.5669423542147246]",0.8963407962585617,0.9740810564242552,0.9779053765700397,0.008497229526611194,0.6534945541736353
7,3.0,2.75,2.75,-4.93051290512085,-2.759577989578247,"[0.8127200603485107, 0.921725869178772, 0.7598894834518433]","[0.7977672815322876, 0.9469741582870483, 0.74460768699646]","[0.8051742315292358, 0.9341794848442078, 0.752170979976654]","[1.0, 1.0, 0.6666666666666666]","[0.8181818181818182, 1.0, 0.6]","[0.8999999950500001, 0.999999995, 0.6315789423822715]","[0.75, 1.0, 0.375]","[0.6, 1.0, 0.3333333333333333]","[0.6666666617283951, 0.999999995, 0.35294117148788934]","[0.7777777777777778, 1.0, 0.6666666666666666]","[0.6363636363636364, 1.0, 0.6]","[0.6999999950500001, 0.999999995, 0.6315789423822715]","[0.6973216154007116, 0.8950617283950617, 0.46890927624872564]","[1.3483065280626046e-231, 1.3483065280626046e-231, 1.0244914152188952e-231]","[0.6171165117972793, 0.9117208127469082, 0.5270826609426863]",0.9012565073807852,0.9791314314717642,0.9788280417106372,0.06208465209399119,0.6733480417587976
9,1.6666666666666667,1.6666666666666667,1.6666666666666667,-4.46768045425415,-4.9499831199646,"[0.43752455711364746, 0.5251767635345459, 0.47749704122543335]","[0.48594796657562256, 0.5068367719650269, 0.4721123278141022]","[0.4604666829109192, 0.5158438086509705, 0.47478941082954407]","[0.1, 0.6, 0.3]","[0.1111111111111111, 0.5454545454545454, 0.3]","[0.1052631529085875, 0.5714285664399092, 0.2999999950000001]","[0.0, 0.16666666666666666, 0.08333333333333333]","[0.0, 0.18181818181818182, 0.1111111111111111]","[0.0, 0.1739130384877128, 0.09523809034013632]","[0.1, 0.5, 0.3]","[0.1111111111111111, 0.45454545454545453, 0.3]","[0.1052631529085875, 0.47619047120181407, 0.2999999950000001]","[0.09090909090909091, 0.4178459705049902, 0.2652310924369748]","[8.614911585158347e-232, 8.614911585158347e-232, 8.614911585158347e-232]","[0.05734125963672532, 0.17556679201656755, 0.11618820847736411]",0.1845214941753283,0.003139066029291929,0.0047488226956986165,0.0009173738048697341,0.0029350875099534266
10,2.333333333333333,2.0,2.333333333333333,-5.843682289123535,-6.340397357940674,"[0.4466143846511841, 0.5309222936630249, 0.4565277099609375]","[0.3941373825073242, 0.43936342000961304, 0.37849777936935425]","[0.41873815655708313, 0.48082298040390015, 0.41386696696281433]","[0.0, 0.5, 0.0]","[0.0, 0.2727272727272727, 0.0]","[0.0, 0.3529411719031142, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.5, 0.0]","[0.0, 0.2727272727272727, 0.0]","[0.0, 0.3529411719031142, 0.0]","[0.05154639175257732, 0.16129032258064518, 0.04716981132075472]","[1.1200407237786664e-231, 1.1200407237786664e-231, 1.1200407237786664e-231]","[-0.12354435429154198, -0.06049194395599078, -0.10080387112144473]",0.0374099057043316,0.12952137486668333,0.26753393044818424,0.3149576746568821,0.2373376599905832
11,2.0,1.6666666666666667,1.6666666666666667,-3.1468138694763184,-2.75069260597229,"[0.8897106647491455, 0.8608025312423706, 0.8971662521362305]","[0.8146135210990906, 0.7172009348869324, 0.7606111764907837]","[0.8505076169967651, 0.782467782497406, 0.8232645392417908]","[0.8333333333333334, 1.0, 0.8333333333333334]","[0.5555555555555556, 0.5454545454545454, 0.5]","[0.6666666618666668, 0.7058823483737025, 0.6249999953125001]","[0.6, 0.8, 0.6]","[0.375, 0.36363636363636365, 0.3333333333333333]","[0.4615384568047337, 0.49999999570312514, 0.4285714239795918]","[0.8333333333333334, 1.0, 0.8333333333333334]","[0.5555555555555556, 0.5454545454545454, 0.5]","[0.6666666618666668, 0.7058823483737025, 0.6249999953125001]","[0.6071019473081329, 0.5422975641869651, 0.5555555555555556]","[1.1200407237786664e-231, 1.1200407237786664e-231, 1.1200407237786664e-231]","[0.6901080712897616, 0.5919585711487191, 0.6606894392944749]",0.7711324758752263,0.834445353637656,0.904678957014895,0.012712782425866478,0.5839456976928058
